,name,year,quarter,sector,Relative Return,국제유가 변화율,매출액 변화율,유동자산 변화율,영업이익 변화율,자산총계 변화율,비유동자산 변화율,Label,Code
15,SK텔레콤,2021,Q1,커뮤니케이션서비스,0.22431357743014252,0.3732219462632649,0.012706059823600624,-0.005918034362204949,0.3314760093241709,-0.00622038374935685,-0.006277029248233923,-0.019158511337185838,017670
15,제일기획,2021,Q1,커뮤니케이션서비스,0.079842253040428,0.3732219462632649,-0.12047238255195003,-0.10998181434949894,-0.6497747714262587,-0.07039909607685957,-0.003523179407943222,0.020513327195747593,030000
15,KT,2021,Q1,커뮤니케이션서비스,0.14838908409715276,0.3732219462632649,-0.0034029959872098337,0.018387212269209474,2.072089919331145,-0.011924036048903464,-0.022315816182603143,0.10855701705614026,030200
15,LG유플러스,2021,Q1,커뮤니케이션서비스,0.23651442304334377,0.3732219462632649,-0.026975021716371006,0.05248568306772161,0.6499232844168379,-0.00257314544238485,-0.022214919787101217,-0.009723078554463811,032640
15,SBS,2021,Q1,커뮤니케이션서비스,0.3383103043648658,0.3732219462632649,-0.20466218681415493,0.0811671816158499,0.10208181164203345,0.05316316956117362,0.0355633201405301,0.7944338262251008,034120
15,NAVER,2021,Q1,커뮤니케이션서비스,-0.12525002619150338,0.3732219462632649,-0.01989367802036779,1.1809764212579785,-0.037205031750049744,0.22083762801067364,0.10389529898940686,0.29486922013960243,035420
15,엔씨소프트,2021,Q1,커뮤니케이션서비스,-0.12412710673813299,0.3732219462632649,-0.4208278929278748,0.004034435887603216,-0.6381863493356597,0.05879641651162837,0.13425251317707443,-0.0367189026763012,036570
