,name,sector,year,quarter,Relative Return,자본총계변화율,매출액변화율,비유동부채변화율,영업이익변화율,이익잉여금변화율,Label,Code
24,Korea_Electric_Terminal,Energy_&_Utilities,2018,Q3,-0.12442541580214964,0.0009730130926989267,-0.004463314742449764,0.0645676980786768,0.053730261646085964,-0.0076475054758775585,-0.02073891845198017,025540
24,Namhae_Chemical,Materials_&_Chemicals,2018,Q3,0.12355734598035541,-0.008320993439607571,0.09895569557271866,-0.059981587795172375,0.506695104620112,-0.010391216215015486,-0.10300762016669658,025860
24,LG_Display,Technology,2018,Q3,-0.24711722756772256,-0.0015065064372092873,-0.12434642061138046,-0.07324866157775167,1.2956794469379174,-0.002175008978790194,0.03339619427036742,034220
24,NAVER_Corp,Technology,2018,Q3,0.02484172898908583,-0.04748924375414432,0.006556821466819018,-0.0335247438595645,-0.015492633976244008,-0.03613233243189584,-0.0686999089455923,035420
24,Korea_Gas_Corporation,Energy_&_Utilities,2018,Q3,0.37957916085688925,0.042015468073544504,0.07607546601275683,0.020504765764950195,-8.639776658745735,0.07063684726801911,-0.05323630612178163,036460
24,NCSOFT,Technology,2018,Q3,-0.07667220925637341,0.08265888970691149,0.09496916947718059,0.29057521142385934,0.10634357833416075,-0.02994324918180058,0.18968501937667637,036570
24,Hanmi_Semiconductor,Technology,2018,Q3,-0.1858124807495861,0.03785504928996841,0.32732215069005255,-0.25861251702057886,0.3795876614280177,0.11111791204156818,0.21014176796537454,042700
24,KEPCO_KPS,Energy_&_Utilities,2018,Q3,-0.16609690221047815,-0.01207731907751941,0.2166285123622641,-0.27141580328787906,0.7508958964714003,-0.01219438395993877,-0.042836497668029855,051600
24,LG_Chem,Materials_&_Chemicals,2018,Q3,-0.10316668521934744,-0.030292322047671183,-0.04669761287589935,-0.006276925136355693,0.04446786408923775,-0.03528986512385157,0.09460115587176021,051910
24,LG_Electronics,Technology,2018,Q3,-0.19506793118150711,-0.012842413399269725,0.04650560291012218,-0.045860129850008535,0.40310688395014704,-0.021028750533989005,-0.15025466599337192,066570
24,Huchems,Materials_&_Chemicals,2018,Q3,0.23220479609122016,-0.06992080841690762,-0.003732979185974594,0.10276476739831042,0.1658938394958761,-0.06875559604129977,-0.1501949096344711,069260
24,Huvis,Materials_&_Chemicals,2018,Q3,0.06531951710827191,-0.04224232729131305,0.05932208816054774,-0.04182974597558542,0.3347767611912924,-0.08873225899856796,0.029455242769258483,093370
24,SK_Innovation,Energy_&_Utilities,2018,Q3,-0.0012545173180887187,0.03614033079198187,-0.15113809321670213,-0.8465143115313152,0.20420570127209703,0.027423174356055124,0.0650086508471077,096770
24,Poongsan,Materials_&_Chemicals,2018,Q3,-0.08758806927126547,0.0005308001191982603,0.1164522791392899,-0.026107883177295177,0.15639028594236226,-0.0014354445807061023,-0.06111056026851618,103140
24,Korea_Steel,Materials_&_Chemicals,2018,Q3,0.09187445404413991,0.017099831673602184,0.07310695450313409,-0.02238637555209433,0.8455553467276794,0.09203322350716125,-0.08294366772569496,104700
24,LG_Hausys,Materials_&_Chemicals,2018,Q3,-0.06553695260594256,-0.003920549463439782,0.05059731814129087,-0.0627771481993995,0.7551955212486217,-0.011522478277295134,0.009783050001022767,108670
24,Kolon_Industries,Materials_&_Chemicals,2018,Q3,0.05186809575451982,-0.04274052172157061,0.03172743463385386,-0.006156164222780092,0.4640236129552957,-0.007868531040996274,-0.07767229974940895,120110
