,name,year,quarter,sector,Relative Return,비유동부채 변화율,법인세차감전 순이익 변화율,영업이익 변화율,소비자물가지수 변화율,유동부채 변화율,비유동자산 변화율,Label,Code
23,유한양행,2019,Q1,헬스케어,-0.0043811838837226336,0.14068832438632217,1.245224941488999,0.8376297898598386,-0.6874179652905958,0.33720476283036316,0.011822535120708855,0.014660066264538203,000100
23,일동제약,2019,Q1,헬스케어,0.10398841392456162,0.20236439883074198,91.26934243830449,5.735873827668296,-0.6874179652905958,0.24824281353455402,0.08402742776398409,-0.12989226784397004,000230
23,동아쏘시오홀딩스,2019,Q1,헬스케어,0.016111266024000447,0.34781123798336266,-1.2196324909194483,-12.08258559574809,-0.6874179652905958,-0.0003408748275010032,0.033636546570900316,-0.1300372837390861,000640
23,한화,2019,Q1,에너지_화학,-0.04853802088551708,0.049483831911554255,-0.8469199985707649,-0.7103351020603279,-0.6874179652905958,0.039247810317510234,0.014600014645917092,-0.15130566166444795,000880
23,한국쉘석유,2019,Q1,에너지_화학,0.03378105806185134,0.0,-0.1671497776447628,-0.17186316513868583,-0.6874179652905958,0.32738949247400373,0.017827839003841994,0.047126003335580306,002960
23,부광약품,2019,Q1,헬스케어,-0.13773146786338733,-0.15623658361848902,-0.9571956239356755,1.7041520617731534,-0.6874179652905958,0.051895306723471535,-0.08866892282467642,-0.11057331901045478,003000
23,태광산업,2019,Q1,에너지_화학,-0.05150507717388067,0.03738180831062632,8.317618320505055,-0.36468145007554365,-0.6874179652905958,0.0706347457323222,0.008043915521650957,-0.22519583058794568,003240
23,영진약품,2019,Q1,헬스케어,-0.053645883868767064,0.02595270934952465,-2.2716209604721,0.12959422761937156,-0.6874179652905958,0.07324566074142758,0.025102628529119375,-0.2763510110479937,003520
23,삼성정밀화학,2019,Q1,에너지_화학,0.06807493503702064,0.01784072385904123,2.381949527397459,-0.022258239208362784,-0.6874179652905958,0.2530617007169307,0.010177054361631521,0.03075821555241501,004000
23,효성,2019,Q1,에너지_화학,0.09611798615802036,0.08090192603095114,-1.2773338763627071,-1.6166188907974357,-0.6874179652905958,1.4843535945426205,0.00822951751678147,0.1065397642693578,004800
23,SK케미칼,2019,Q1,에너지_화학,0.10150612895032014,-0.19879633141834363,-1.7637574405093015,-14.09080065994778,-0.6874179652905958,0.31419649949901785,0.0028658376873071933,-0.161170716974396,006120
23,녹십자,2019,Q1,헬스케어,-0.08976268973753454,0.03209073396986728,-0.5580684884130185,-1.0747454764131863,-0.6874179652905958,0.14385398052238285,0.030089420979013237,-0.11167185849764714,006280
23,대한유화,2019,Q1,에너지_화학,-0.0718194382970196,0.08632576666997438,2.5664086665128427,2.1164228502047977,-0.6874179652905958,0.4260607783642467,-0.0073175915569957395,-0.13906562132144265,006650
23,일양약품,2019,Q1,헬스케어,-0.07533507582895178,0.0060511461409444856,-1.33512722361675,-1.728942980165685,-0.6874179652905958,0.02751403793520879,-0.0029167556264764194,-0.15507327529336856,007570
23,국도화학,2019,Q1,에너지_화학,-0.004241627612673573,-0.01767580582456596,0.5794896286646449,1.2913747853752686,-0.6874179652905958,0.30104767854136116,0.061805925542280926,0.037654307498687756,007690
23,서흥,2019,Q1,헬스케어,0.0586074972270033,0.003438633117894385,1.1212193729064204,0.28554719047026467,-0.6874179652905958,0.12705962238444313,0.0003990713431842874,0.18957113556892938,008490
23,광동제약,2019,Q1,헬스케어,0.012140336302373156,0.5326411825181847,1.4626984310088185,0.7946217257846748,-0.6874179652905958,0.07122729772378156,-0.009478436829528758,0.015370752471864216,009290
23,한화케미칼,2019,Q1,에너지_화학,0.013660248712433955,0.05903699139887064,-1.6862098006226072,-2.065254223616703,-0.6874179652905958,0.029254531246312165,0.006366768673691903,-0.10815472176625504,009830
23,OCI,2019,Q1,에너지_화학,-0.02255571736582705,0.06339379597684869,-0.5011187159793409,0.10817482903194486,-0.6874179652905958,-0.1741110470273084,-0.005996365845440277,-0.17348512034121136,010060
23,S-Oil,2019,Q1,에너지_화학,-0.04919481791145233,0.022790065527411363,-1.3435622651962396,-1.8140573499832637,-0.6874179652905958,0.04531203261771388,0.009290926062584637,0.08338182474327682,010950
23,롯데케미칼,2019,Q1,에너지_화학,-0.08120919588312296,-0.09632074049724093,1.3291480884461109,1.4582169813357018,-0.6874179652905958,0.1765709735667933,0.01086631274929939,-0.1079561292262059,011170
23,금호석유,2019,Q1,에너지_화학,-0.01839722170632569,-0.2852670566871133,4.397047287228408,1.599630845487892,-0.6874179652905958,0.07946973132978852,-0.010300955557473679,-0.14013764288223637,011780
23,SKC,2019,Q1,에너지_화학,-0.0657644751791459,0.12069284548493564,-3.6434946293669626,-0.1184493295051453,-0.6874179652905958,0.21161013283593189,0.007799739651277893,0.2953687555172201,011790
23,한솔케미칼,2019,Q1,에너지_화학,0.011255442210957325,0.011311752084869564,1.0204901352453732,0.5956662311137568,-0.6874179652905958,0.7510578979804494,0.026404507374673925,0.03118575439832734,014680
23,동원시스템즈,2019,Q1,에너지_화학,0.021069742566982786,0.013811471538877962,2.1828142383461575,0.48963689333278193,-0.6874179652905958,0.15732283971138172,0.050184434447571924,0.03836231006484478,014820
23,유니드,2019,Q1,에너지_화학,0.0008163115248154169,-0.024498376852698622,2.963335565004481,0.9685156623447335,-0.6874179652905958,-0.07231145895060798,0.029682661389087706,0.01728350142411736,014830
23,남해화학,2019,Q1,에너지_화학,-0.0443024596372637,-0.1289875928843527,-1.2588185203913758,-1.1134476648910065,-0.6874179652905958,0.15625329928469722,-0.014219469105301474,-0.11799593509992373,025860
23,LG화학,2019,Q1,에너지_화학,-0.06138668716975629,0.3920853549205514,0.20909889202923249,-0.27057765534579425,-0.6874179652905958,0.0900546854821016,0.043681274024985006,-0.0125960718053236,051910
23,휴켐스,2019,Q1,에너지_화학,0.006195575999071071,-0.20240478340708867,18.20379730877973,1.4273500873659026,-0.6874179652905958,1.1270542955402947,-0.032558827488138764,0.07213214217224327,069260
23,대웅제약,2019,Q1,헬스케어,-0.015594779739757238,0.012441991120169194,-2.1147932309264132,1.1750532527781696,-0.6874179652905958,0.007279549835210286,0.015181477224605278,-0.03358604674266695,069620
23,GS,2019,Q1,에너지_화학,-0.024656441938148657,0.0018928978472769753,-0.35534618635979387,-0.36799823924287445,-0.6874179652905958,0.18846579625436144,-0.0002482408843986761,0.007164122978989523,078930
23,휴비스,2019,Q1,에너지_화학,-0.008665208007957854,0.18590607818828686,-1.80680660243561,-1.8656511816040173,-0.6874179652905958,-0.02910125466108837,0.31089264226929214,-0.1307736927797471,079980
23,후성,2019,Q1,에너지_화학,0.05146814461091419,0.12124581398199297,0.45725447751062,0.33820309786380776,-0.6874179652905958,-0.03656207498427222,0.08569133723648936,0.3988083353304653,093370
23,SK이노베이션,2019,Q1,에너지_화학,-0.04498729220531757,0.1727848606236495,1.635138196486111,1.629675271756076,-0.6874179652905958,1.247498951083196,0.051388029815267355,-0.02900514737931416,096770
23,코오롱인더,2019,Q1,에너지_화학,-0.029042759845593333,-0.09927327598200264,0.1823093685224504,0.5005772199502174,-0.6874179652905958,0.04793943027542147,0.00232329988516522,-0.10071766333780285,120110
23,한미약품,2019,Q1,헬스케어,-0.0900411324375388,-0.028141587332878415,-1.3253621050113529,0.07526276184231517,-0.6874179652905958,0.3887396361096789,0.059493343469585236,-0.22992399278530773,128940
