,name,year,quarter,sector,Relative Return,매출액 변화율,이익잉여금 변화율,부채총계 변화율,실업률 변화율,유동부채 변화율,법인세차감전 순이익 변화율,Label,Code
17,조선내화,2020,Q3,철강_소재,0.05136604289461466,0.05307745671082231,0.0038288495814671197,0.07057535178365448,-0.032258064516129115,0.08060638332880288,-0.9314224836694822,-0.22696701323501478,000480
17,영풍,2020,Q3,철강_소재,-0.06213608214944069,0.16670959759490955,0.005929800460903412,0.13902268550294283,-0.032258064516129115,0.364421973922483,-2.6533464803894042,-0.04346045509788579,000670
17,동국제강,2020,Q3,철강_소재,0.016271773013448287,-0.038333788628357346,0.07643782935494303,-0.023756478164462913,-0.032258064516129115,0.018510481500554787,-0.13235630699451462,0.30520921549003,001230
17,세아베스틸,2020,Q3,철강_소재,-0.14271610257959336,0.0727577180190806,-0.013453635327878133,-0.07665007345232011,-0.032258064516129115,-0.144010393284566,-1.8593774971731647,0.35570665658451284,001430
17,고려제강,2020,Q3,철강_소재,-0.14117950358536724,-0.0730806086143676,0.0033833719737286216,-0.05866767772742243,-0.032258064516129115,-0.09734660659797711,0.13150361286217138,0.10423418359646339,002240
17,세아제강,2020,Q3,철강_소재,-0.048352798152391165,0.396984428796209,0.0008941370342454569,0.16800884971801255,-0.032258064516129115,0.5666230899489342,-1.0409755548936797,-0.23618863397233558,003030
17,현대제철,2020,Q3,철강_소재,0.10119407250287302,0.021343734277917692,-0.005483824770072143,0.020129540003765767,-0.032258064516129115,-0.03398369506151544,-11.181844764986735,0.0759734546631314,004020
17,삼광글라스,2020,Q3,철강_소재,0.025553002934539888,0.11770405847813104,-0.022417897730833358,-0.020081455732313014,-0.032258064516129115,-0.017422520460086854,-4.442631788993994,-0.2156833133416598,005090
17,POSCO,2020,Q3,철강_소재,0.10712055818630567,0.11777125929001842,0.0030444100196631574,0.06047575919597237,-0.032258064516129115,0.19178195188168146,-6.523749647999087,0.010481830291593275,005490
17,무림P&P,2020,Q3,철강_소재,0.010531683021133421,-0.146889577214406,-0.026346046803052414,0.007084319668781314,-0.032258064516129115,-0.1936012332388748,-4.709612001859854,0.3678466441585656,009580
17,고려아연,2020,Q3,철강_소재,-0.1474532915728377,0.1281769546994811,0.027175960529972842,0.02299482552466725,-0.032258064516129115,0.029474100286080107,0.2544200030339865,-0.19433020247902077,010130
17,풍산,2020,Q3,철강_소재,-0.003700735476576851,-0.004319634647952264,0.047572732729372014,0.07732558133970091,-0.032258064516129115,0.13836797330224138,2.166149186762497,0.002890473616461803,103140
17,한국철강,2020,Q3,철강_소재,0.05259639742040665,-0.15337096790516624,0.07221508198337445,-0.023539808403209017,-0.032258064516129115,-0.04031212117850402,-0.24279819529353175,0.5291142771212916,104700
