,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,자산총계 변화율,비유동부채 변화율,영업이익 변화율,매출액 변화율,이익잉여금 변화율,Label,Code
1,대림산업,2024,Q3,건설,-0.13955218472851136,-0.2377021247854798,0.007359775714061767,-0.007008765025585895,-0.5112673289453944,-0.3504048751217217,0.0012573308584566956,-0.026899026899026957,000210
1,현대건설,2024,Q3,건설,0.030099223047776708,-0.2377021247854798,-0.0053689818092291786,-0.1324744572117157,-0.8731394068373319,-0.04422052547367561,0.0027804826586277365,0.1535902369235703,000720
1,KCC,2024,Q3,건설,-0.125567206032765,-0.2377021247854798,0.0033576796516039398,-0.0011140064164348873,-0.2528199600096188,-0.12530320412870644,0.005231787653622755,0.13534912755357442,002380
1,한일시멘트,2024,Q3,건설,0.11181229909402324,-0.2377021247854798,-0.002035021102829493,-0.05403641183651042,-1.9236570865793292,-0.06181465771544514,-4.68195910411362e-05,-0.057724166389979,003300
1,아이에스동서,2024,Q3,건설,-0.054445562463042774,-0.2377021247854798,-0.039735246436475746,0.2871915688269393,-0.4326913822891779,-0.02847823102011726,-0.004069867143244532,-0.17305771151924992,010780
1,현대산업,2024,Q3,건설,0.21833401420676948,-0.2377021247854798,-0.025236251446172253,0.13005721862598096,1.8664545859615558,0.05293257422075359,0.0025795540012125695,0.1942432567432567,012630
1,삼성엔지니어링,2024,Q3,건설,-0.24661466719811156,-0.2377021247854798,0.02160987352459176,0.022912979449073667,-0.6484497787371499,-0.2536415588996743,0.06036514164624096,0.03434279081718756,028050
1,대우건설,2024,Q3,건설,-0.015186068815107978,-0.2377021247854798,0.0115284831345277,0.012907026887353679,-2.130372112755584,-0.1188062523279908,0.05960565248234406,-0.07537883627999908,047040
1,한전기술,2024,Q3,건설,0.0674806739653774,-0.2377021247854798,-0.060918771217701284,-0.14050488776276993,-0.5865641731725137,-0.167998412207904,0.007498340105459356,-0.19449300699300703,052690
1,LG하우시스,2024,Q3,건설,-0.03945560527283001,-0.2377021247854798,-0.06337802149204441,0.12346696398274282,-0.4899632091912477,-0.05108519319634253,0.08045071395421632,-0.24395118770118773,108670
