,name,year,quarter,sector,Relative Return,이익잉여금 변화율,비유동자산 변화율,비유동부채 변화율,자본총계 변화율,GDP 변화율,매출액 변화율,Label,Code
34,하이트진로,2016,Q4,생활소비재,-0.15110449479935037,0.010075903493099059,-0.04539864215488432,-0.008738955824266426,0.003149333770795737,0.053783991782550444,0.013367361045171888,0.09498344792462436,000080
34,CJ,2016,Q4,생활소비재,-0.052936760570377,0.002232409014018666,-0.0029915826804676193,-0.05063288656725573,0.0014896240139863348,0.053783991782550444,0.09710737526274893,0.17753056023843017,001040
34,대상,2016,Q4,생활소비재,-0.22283061234757034,0.04423961762743356,0.05000286677985821,0.02184866345172165,0.014699641968033639,0.053783991782550444,-0.0865003864866477,0.06461754826411888,001680
34,오리온,2016,Q4,생활소비재,-0.13527122828606142,0.06025186098059532,-0.010088811730867397,-0.4638347754422316,0.06363068434894026,0.053783991782550444,0.11556074782093728,0.10960037781441472,001800
34,아모레G,2016,Q4,생활소비재,-0.15304727115043096,-0.004150124558117141,-0.0009515157808068775,-0.032696840934135385,-0.002792161117715075,0.053783991782550444,0.06810249307829608,0.16110058804711563,002790
34,남양유업,2016,Q4,생활소비재,0.04647305161337939,0.016849454203505587,-0.03123044619619475,-0.46402645200403103,0.017232223001516722,0.053783991782550444,0.012874418093542728,-0.11888701148085601,003920
34,농심,2016,Q4,생활소비재,-0.1360223674255945,0.00679003193964367,0.011920345819755651,0.07707789021412692,0.0060661360339018255,0.053783991782550444,0.05706426715334345,0.0369276423440663,004370
34,빙그레,2016,Q4,생활소비재,0.007492281409571283,-0.04987560642954347,-0.011338339105857798,-0.24502383810942419,-0.004381350905932058,0.053783991782550444,-0.3446810336322751,-0.010828772641694573,005180
34,롯데칠성,2016,Q4,생활소비재,-0.1830079012596867,-0.039892473532344486,0.0074899873225373614,0.0008014875904074348,-0.027142960925605863,0.053783991782550444,-0.21130262378001674,0.1546744862860307,005300
34,현대그린푸드,2016,Q4,생활소비재,-0.12607845461050637,0.012035061835610428,-0.016114039097194555,-0.12395447889594624,-0.004397573980799874,0.053783991782550444,0.012408253316232187,0.05844347927258674,005440
34,삼립식품,2016,Q4,생활소비재,0.20481317243907157,0.056744395390283975,0.03423376449459181,0.3831040190636912,0.020488702147476667,0.053783991782550444,0.1217195765314234,-0.10292668791654597,005610
34,크라운제과,2016,Q4,생활소비재,0.05979724982896523,0.007126814913351653,0.004904479453922583,0.37611440504625593,0.0067414913954599864,0.053783991782550444,0.07799853581450211,0.0,005740
34,GS리테일,2016,Q4,생활소비재,0.031393307487615485,0.08831625497151885,0.016861409222990842,-0.04117794803375463,0.06323523895317584,0.053783991782550444,-0.041958729936043326,-0.01282146652728497,007070
34,오뚜기,2016,Q4,생활소비재,0.02258301588867334,0.024330755579805352,0.06412917918282268,-0.1612840242451382,0.024052659967940038,0.053783991782550444,-0.04925195617511169,0.002261010787293599,007310
34,한국전력,2016,Q4,생활소비재,-0.13024628287354828,-0.0032183677988339987,0.004745829788893374,-0.012368747252366696,-0.0024112613104536607,0.053783991782550444,-0.04970592166864041,-0.18436956776279648,015760
34,KT&G,2016,Q4,생활소비재,-0.2025705236770189,0.3948981267355227,0.032014009805027,0.031210015429439908,0.05069261936732894,0.053783991782550444,0.018291182129397843,0.02598577892695536,033780
34,무학,2016,Q4,생활소비재,-0.03392939340629801,0.014050751330804356,0.0407633943235437,-0.5973862999826256,0.02348317946761269,0.053783991782550444,0.06911996170784307,-0.006048707692684105,033920
