,name,year,quarter,sector,Relative Return,국제유가 변화율,1인평균급여 변화율,소비자물가지수 변화율,보유 주식 수 변화율,금리 변화율,실업률 변화율,Label,Code
25,하이트진로,2018,Q3,생활소비재,-0.037858348509401896,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.15274857846813358,000080
25,CJ,2018,Q3,생활소비재,-0.07831231994398848,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.04888600235897958,001040
25,대상,2018,Q3,생활소비재,0.031081823228511114,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.17822628547450303,001680
25,오리온,2018,Q3,생활소비재,-0.22787220034605282,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.1597081438005444,001800
25,아모레G,2018,Q3,생활소비재,-0.3435860521692574,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.17858040024170735,002790
25,남양유업,2018,Q3,생활소비재,-0.020526340485904515,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.009899846319882544,003920
25,농심,2018,Q3,생활소비재,-0.12648499963605303,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.294723943438938,004370
25,빙그레,2018,Q3,생활소비재,0.15763934308479957,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,-0.08361623245774458,005180
25,롯데칠성,2018,Q3,생활소비재,-0.025640579987458598,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.3688960782856217,005300
25,현대그린푸드,2018,Q3,생활소비재,-0.04922391636930404,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.1812216463379505,005440
25,삼립식품,2018,Q3,생활소비재,0.20402476837371497,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.0964518735180358,005610
25,크라운제과,2018,Q3,생활소비재,-0.18902789064609732,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.15848423141359735,005740
25,GS리테일,2018,Q3,생활소비재,0.06019258328544365,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.08819899459003133,007070
25,오뚜기,2018,Q3,생활소비재,-0.1767609459119993,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.13088382342724195,007310
25,한국전력,2018,Q3,생활소비재,-0.04047290874591335,0.009709172259507959,0.0,0.0442397512820667,0.048622495580130876,-0.09246405552800974,0.11607142857142883,0.04035828361249591,015760
25,KT&G,2018,Q3,생활소비재,0.005281382130328749,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.029102843513819445,033780
25,무학,2018,Q3,생활소비재,-0.16459768060587687,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.10773796275688094,033920
25,한국가스공사,2018,Q3,생활소비재,0.012230012496680633,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,-0.13604901949163975,036460
25,팜스코,2018,Q3,생활소비재,-0.19096434072908497,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,-0.002234169799070644,036580
25,동원F&B,2018,Q3,생활소비재,0.03445945089724343,0.009709172259507959,0.0,0.0442397512820667,0.04862249558453535,-0.09246405552800974,0.11607142857142883,-0.12486417103557598,049770
25,LG생활건강,2018,Q3,생활소비재,-0.03600238283764674,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.29500108795104063,051900
25,에이블씨엔씨,2018,Q3,생활소비재,-0.32184519499624836,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.49850101496571625,078520
25,아모레퍼시픽,2018,Q3,생활소비재,-0.33688054724090294,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.19843060344952163,090430
25,CJ제일제당,2018,Q3,생활소비재,0.06722263372675276,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,-0.08800465940083556,097950
25,락앤락,2018,Q3,생활소비재,-0.03185987342967886,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.23066419477402206,115390
25,이마트,2018,Q3,생활소비재,-0.05974434975189517,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,-0.12270823146884084,139480
25,삼양사,2018,Q3,생활소비재,-0.17367837710465983,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.017433889320277385,145990
25,한국콜마,2018,Q3,생활소비재,-0.1618698568030884,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.40161624164262316,161890
25,코스맥스,2018,Q3,생활소비재,-0.1366763366685343,0.009709172259507959,0.0,0.0442397512820667,0.0,-0.09246405552800974,0.11607142857142883,0.2692854790403307,192820
