code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
50,Kyungbang,유통,2019,Q2,"64,808,652,708","1,191,879,483,487","1,256,688,136,195","102,305,382,028","416,892,626,023","519,198,008,051","732,579,678,388","737,490,128,144",62651864334.0,8631724033.0,7945072994.0,6191085278.0,6191085278.0,"13,707,635,000",,,,,,,,,,
80,Hite_Jinro,음식료·담배,2019,Q2,"725,165,859,057","2,527,335,236,085","3,252,501,095,142","1,362,435,622,044","774,680,736,971","2,137,116,359,015","326,039,006,442","1,115,384,736,127",471409958559.0,7995492681.0,-26467616142.0,-31417607253.0,-31417607253.0,"368,842,230,000",,,,,,,,,,
100,Yuhan_Corporation,제약,2019,Q2,"909,263,379,951","980,316,062,107","1,889,579,442,058","217,936,519,495","104,077,866,734","322,014,386,229","1,455,428,339,061","1,567,565,055,829",355702789977.0,443891352.0,7219536545.0,4755643875.0,4755643875.0,"65,066,515,000",,,,,,,,,,
120,CJ_Logistics,운송·창고,2019,Q2,"1,120,029,732,376","5,600,502,659,004","6,720,532,391,380","1,542,124,255,059","2,258,228,679,624","3,800,352,934,683","431,838,266,231","2,920,179,456,697",1617518958031.0,44179590775.0,8139310721.0,6713448433.0,6713448433.0,"114,061,720,000",,,,,,,,,,
150,Doosan_Corp,기타금융,2019,Q2,"1,305,088,619,291","3,764,345,198,616","5,069,433,817,907","1,712,584,456,858","1,059,526,544,673","2,772,111,001,531","1,637,860,804,773","2,297,322,816,376",,54305180801.0,34139578775.0,28924690612.0,28924690612.0,"134,845,735,000",,,,,,,,,,
210,DL_Holdings,화학,2019,Q2,"4,622,638,108,602","5,618,024,269,007","10,240,662,377,609","3,697,999,062,928","1,235,158,445,982","4,933,157,508,910","4,599,917,020,049","5,307,504,868,699",1898287327792.0,219447586401.0,74908734063.0,52801233491.0,52801233491.0,"218,500,000,000",,,,,,,,,,
230,Ildong_Pharmaceutical,제약,2019,Q2,"28,172,159,246","192,682,448,404","220,854,607,650","22,540,710,762","19,310,483,742","41,851,194,504","51,278,637,123","179,003,413,146",3912663972.0,406539899.0,276356948.0,129022860.0,129022860.0,"11,002,587,000",,,,,,,,,,
240,Hankook_Tire_Worldwide,기타금융,2019,Q2,"217,099,678,085","2,098,941,164,908","2,316,040,842,993","13,417,387,309","68,034,167,091","81,451,554,400","894,778,727,420","2,234,589,288,593",15491291317.0,8830070341.0,11492014109.0,8835798004.0,8835798004.0,"46,510,086,500",,,,,,,,,,
270,Kia_Corp,운송장비·부품,2019,Q2,"12,950,871,000,000","25,018,818,000,000","37,969,689,000,000","8,601,624,000,000","5,647,400,000,000","14,249,024,000,000","20,040,035,000,000","23,720,665,000,000",8846729000000.0,438521000000.0,514433000000.0,409754000000.0,409754000000.0,,,,,,,,,,,
480,Chosun_Refractories,비금속,2019,Q2,"216,633,211,524","497,136,283,562","713,769,495,086","187,895,983,997","30,189,256,108","218,085,240,105","407,047,709,405","495,684,254,981",115817230530.0,-812032798.0,3499703436.0,3585203567.0,3585203567.0,"20,000,000,000",,,,,,,,,,
640,Dong-A_Socio_Holdings,기타금융,2019,Q2,"70,098,652,657","770,074,617,032","840,173,269,689","186,596,524,403","94,377,921,645","280,974,446,048","348,223,144,044","559,198,823,641",5065785693.0,-5926006588.0,-6490136844.0,-7366723385.0,-7366723385.0,"30,691,485,000",,,,,,,,,,
