code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용
036570,엔씨소프트,커뮤니케이션서비스,2015,Q4,"924,363,836,603","1,177,272,046,775","2,101,635,883,378","225,123,834,576","81,555,879,918","306,679,714,494","1,338,997,265,387","1,794,956,168,884",616604463077,257250508328,253201665610,187589129416,187589129416,,,
036570,엔씨소프트,커뮤니케이션서비스,2016,Q1,"881,194,656,658","1,252,735,947,916","2,133,930,604,574","249,734,642,839","234,810,259,362","484,544,902,201","1,337,043,457,073","1,649,385,702,373",169355405079,55863467256,74820736204,58597222564,58597222564,,,
036570,엔씨소프트,커뮤니케이션서비스,2016,Q2,"933,751,380,306","1,190,500,588,762","2,124,251,969,068","147,574,012,619","242,535,756,683","390,109,769,302","1,422,179,381,555","1,734,142,199,766",177115869767,81263200798,93101958820,88683236397,88683236397,,,
036570,엔씨소프트,커뮤니케이션서비스,2016,Q3,"858,447,818,537","1,301,960,015,246","2,160,407,833,783","133,503,661,635","245,031,401,184","378,535,062,819","1,469,696,512,677","1,781,872,770,964",163811146726,69164397584,60804544482,47144164868,47144164868,,,
036570,엔씨소프트,커뮤니케이션서비스,2016,Q4,"1,018,270,459,212","1,258,992,423,820","2,277,262,883,032","183,894,655,418","172,598,813,292","356,493,468,710","1,552,918,806,186","1,920,769,414,322",233853428756,112862788341,112932574835,78377986352,78377986352,,,
036570,엔씨소프트,커뮤니케이션서비스,2017,Q1,"983,221,104,355","1,305,975,618,767","2,289,196,723,122","248,805,126,580","178,128,160,515","426,933,287,095","1,492,779,436,686","1,862,263,436,027",193604437699,40323378802,26372579976,20646600537,20646600537,,,
036570,엔씨소프트,커뮤니케이션서비스,2017,Q2,"987,398,303,900","1,705,521,916,740","2,692,920,220,640","160,780,352,112","282,474,458,297","443,254,810,409","1,537,355,585,443","2,249,665,410,231",210042633842,48837983350,59956916708,47921946575,47921946575,,,
036570,엔씨소프트,커뮤니케이션서비스,2017,Q3,"1,540,591,602,933","1,579,728,252,821","3,120,319,855,754","320,420,782,975","272,193,651,373","592,614,434,348","1,831,788,044,873","2,527,705,421,406",676510404885,345341332299,382771721558,293375247157,293375247157,"10,969,511,000",,
036570,엔씨소프트,커뮤니케이션서비스,2017,Q4,"1,669,239,629,302","1,792,268,424,923","3,461,508,054,225","372,494,395,946","335,582,071,082","708,076,467,028","1,924,094,023,958",,466478548013,184473392638,154666736555,109630452116,109630452116,"10,969,511,000",,
036570,엔씨소프트,커뮤니케이션서비스,2018,Q1,"1,806,769,636,125","1,613,362,079,018","3,420,131,715,143","703,245,517,137","141,179,389,801","844,424,906,938","1,898,798,313,382",,428353232636,210331947538,205425055781,128414833392,128414833392,"10,969,511,000",,
036570,엔씨소프트,커뮤니케이션서비스,2018,Q2,"1,626,500,948,830","1,641,918,327,814","3,268,419,276,644","409,148,836,423","136,310,286,562","545,459,122,985","2,048,175,135,759",,387195995505,171572427464,205082565552,152658201644,152658201644,"10,969,511,000",,
036570,엔씨소프트,커뮤니케이션서비스,2018,Q3,"1,541,567,184,616","1,425,135,229,174","2,966,702,413,790","360,489,200,613","96,701,896,225","457,191,096,838","2,109,504,154,217",,350424313387,153326801584,108530795792,62241100911,62241100911,"10,969,511,000",,
