,name,year,quarter,sector,Relative Return,이익잉여금 변화율,Relative Return,매출액 변화율,부채총계 변화율,유동자산 변화율,법인세차감전 순이익 변화율,Label,Code
19,조선내화,2020,Q1,철강_소재,-0.024622085199050528,0.0020100787918684304,-0.024622085199050528,0.018206812897264113,0.12451886765657649,0.03603911464589049,-4.525003257088798,-0.2982992105524605,000480
19,영풍,2020,Q1,철강_소재,-0.003615429771146275,0.025649592493506956,-0.003615429771146275,-0.1606496438994941,-0.02267495949899534,-0.02903566373148847,4.004568799132089,-0.2526805617673693,000670
19,동국제강,2020,Q1,철강_소재,-0.053165258989395614,-0.01256179890711795,-0.053165258989395614,-0.08490440141591615,0.013787331358073418,-0.024961549380053127,-0.936246171438593,0.3783807143278998,001230
19,세아베스틸,2020,Q1,철강_소재,0.24359554903487962,-0.011970030798641451,0.24359554903487962,0.05794759078897638,0.2164486819633351,0.04307543283487347,-0.4495773726289597,-0.08483782192949313,001430
19,고려제강,2020,Q1,철강_소재,-0.12138879456848223,0.005989878319097697,-0.12138879456848223,-0.1744082461940487,-0.007892376686821634,-0.012817880813667526,3.9151293143464763,-0.059066734343241445,002240
19,세아제강,2020,Q1,철강_소재,0.10991942409237912,0.007041604099028875,0.10991942409237912,5.573910393778328,0.5142922722908085,6.8051516937242456,9.344680721377298,0.37429697393218236,003030
19,현대제철,2020,Q1,철강_소재,0.05098678120487285,-0.016324834127231402,0.05098678120487285,0.005832329349005683,0.007721787337017005,0.030490539215895174,-0.16853491280566235,0.15544475063156044,004020
19,삼광글라스,2020,Q1,철강_소재,-0.0531710791857181,0.005387789618224614,-0.0531710791857181,1.058945269861829,-0.033499005176608865,-0.01825708106029489,-3.9746515261991746,-0.03189288561042025,005090
19,POSCO,2020,Q1,철강_소재,-0.042554001004863784,0.0027774584004056635,-0.042554001004863784,-0.05111231206777078,0.2763168578448849,0.14044117975068682,-2.1657144454257375,-0.03363830006980109,005490
19,무림P&P,2020,Q1,철강_소재,0.10381897105605445,-0.021366186070879145,0.10381897105605445,-0.028843876156450454,0.006154476015930221,0.014411034717478843,-1.210231831932893,-0.3122142281300217,009580
19,고려아연,2020,Q1,철강_소재,-0.09218948577928142,-0.017590443565996594,-0.09218948577928142,-0.00658852525206155,0.12350095264425542,-0.02882354344334126,0.22336251923314476,-0.09574036105832615,010130
19,풍산,2020,Q1,철강_소재,0.013408986504103437,-0.020376229626536513,0.013408986504103437,-0.2492020982788521,0.0485059802752803,0.06276294573721164,-1.0038833648946797,0.03762368281049261,103140
19,한국철강,2020,Q1,철강_소재,0.2499548228360139,0.027695394262776674,0.2499548228360139,-0.2003186320534429,-0.2832954127831049,-0.06534258672817872,-13.135873948389118,-0.17757254259229416,104700
