,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,금리 변화율,국제유가 변화율,실업률 변화율,수출액 변화율,환율 변화율,Label,Code
23,화신,2019,Q1,경기소비재,0.27859153025733047,-0.17649176229868413,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.15038843545059313,010690
23,현대위아,2019,Q1,경기소비재,0.10413962685792014,-3.9609890563438284,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.02117173872446107,011210
23,현대모비스,2019,Q1,경기소비재,0.047248319966613245,0.7908995190802766,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.1718246957533836,012330
23,에스원,2019,Q1,경기소비재,0.0012070118771123836,-3.7033434270093446,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.14412469127761984,012750
23,한온시스템,2019,Q1,경기소비재,0.041415698621213734,-1.1114788081397167,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.07554786883229665,018880
23,대교,2019,Q1,경기소비재,0.006264398126471695,-3.4024208313386164,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.06641395325733304,019680
23,한섬,2019,Q1,경기소비재,0.017406338330909637,-0.21381288489069594,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.23103502633450368,020000
23,코웨이,2019,Q1,경기소비재,-0.17206384934555607,0.5012993690573881,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.1889217414193268,021240
23,롯데쇼핑,2019,Q1,경기소비재,-0.023811371515613446,-1.2842581095493688,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.18589528369045813,023530
23,삼성물산,2019,Q1,경기소비재,-0.04465644193814866,-0.7496084207474786,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.04888204405178233,028260
23,세종공업,2019,Q1,경기소비재,0.06660563976621106,-1.3784006059308591,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.25026559336811777,033530
23,강원랜드,2019,Q1,경기소비재,0.02596855806185134,4.484606826918702,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.0008365775282295901,035250
23,한라홀딩스,2019,Q1,경기소비재,0.030435582601728642,-1.6215147601884445,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.060543674111191825,060980
23,S&T모티브,2019,Q1,경기소비재,0.09674205503875594,-0.9778302228310245,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.47004877389550215,064960
23,현대백화점,2019,Q1,경기소비재,-0.07455743203715856,-0.11050746489766283,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.15244569586547396,069960
23,금호타이어,2019,Q1,경기소비재,0.02392803294769609,-0.9829776145986332,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.029010852482139245,073240
23,현대리바트,2019,Q1,경기소비재,-0.015751332449097565,0.542630143403888,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.24191938007600028,079430
23,베이직하우스,2019,Q1,경기소비재,0.12002097741669004,-0.9837310257552573,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.27481065794681336,084870
23,LF,2019,Q1,경기소비재,-0.00648911126085782,-0.20525566844094134,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.030826951160896985,093050
23,한세실업,2019,Q1,경기소비재,0.07853281573833085,-1.1712229471266915,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.2649963031529234,105630
23,영원무역,2019,Q1,경기소비재,0.15019807567287738,-2.3382150792325813,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,0.02661687163398603,111770
23,GKL,2019,Q1,경기소비재,-0.013008090289797013,0.2582204051275594,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.05430470117691773,114090
23,한국타이어,2019,Q1,경기소비재,0.01406696231717049,0.6231425724057413,-0.09282764948769218,-0.06709658363690052,0.01754385964912264,-0.09882153156977846,-0.0016632023276192953,-0.1746663354210612,161390
