,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,소비자물가지수 변화율,GDP 변화율,주택가격 변화율,수출액 변화율,환율 변화율,Label,Code
29,경방,2018,Q1,경기소비재,0.03958359741412085,0.12400206018809712,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,0.011885389568458124,000050
29,하이트진로,2018,Q1,생활소비재,-0.0493505668556139,2.562316994449643,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.08982263492396855,000080
29,유한양행,2018,Q1,헬스케어,0.04101083704832133,0.5091124110012684,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,0.06181745260227466,000100
29,CJ대한통운,2018,Q1,산업재,0.2566929321227336,-8.488282152647326,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.08753989778786372,000120
29,두산,2018,Q1,산업재,0.12522688227297457,1.3006880197360275,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.031583011954693416,000150
29,대림산업,2018,Q1,건설,0.16995506182944922,-2.4825904818393836,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.018774693966500014,000210
29,일동제약,2018,Q1,헬스케어,-0.0034007412722550645,-3.168248830000466,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,0.0011942483959284655,000230
29,한국타이어월드와이드,2018,Q1,경기소비재,-0.012265028214992585,1.7451501684468855,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,0.12610362291753702,000240
29,기아차,2018,Q1,경기소비재,0.08011154772467985,0.13947630253162568,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,0.04905698234349917,000270
29,조선내화,2018,Q1,철강_소재,0.005031510546119491,-1.8035054743567622,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,0.04839560668212351,000480
29,동아쏘시오홀딩스,2018,Q1,헬스케어,-0.12669692296768342,-38.1620091843105,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.060745958449324094,000640
29,SK하이닉스,2018,Q1,정보기술,0.038442663684447834,0.08484669097030983,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.03550835541951301,000660
29,영풍,2018,Q1,철강_소재,-0.02755000334376075,10.212641028965256,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.0854252989411077,000670
29,현대건설,2018,Q1,건설,0.6705387223024034,-2.6207785691387793,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.11637786043398607,000720
29,한화,2018,Q1,에너지_화학,0.06330808721003921,-7.146841003115583,0.007554308601281479,-0.06821037105052141,-3.4564411492122336,0.024297858795447214,-0.030034823661886145,-0.14228829831942152,000880
