,code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,영업비용,이자비용
33,3550,LG_Corporation,etc,2024,Q1,2137967000000.0,8246509000000.0,10384476000000.0,723041000000.0,163457000000.0,886498000000.0,801613000000.0,8188630000000.0,9497978000000.0,481546000000.0,428263000000.0,444519000000.0,406425000000.0,406425000000.0,419448000000.0,53283000000.0,406425000000.0
34,3550,LG_Corporation,etc,2024,Q2,1422625000000.0,8483610000000.0,9906235000000.0,212083000000.0,182380000000.0,394463000000.0,801613000000.0,8234569000000.0,9511772000000.0,123309000000.0,47658000000.0,61991000000.0,45953000000.0,45953000000.0,111060000000.0,75651000000.0,45953000000.0
35,3550,LG_Corporation,etc,2024,Q3,1548007000000.0,8444684000000.0,9992691000000.0,223642000000.0,170771000000.0,394413000000.0,801613000000.0,8351433000000.0,9598278000000.0,194753000000.0,125445000000.0,139396000000.0,116906000000.0,116906000000.0,86506000000.0,69308000000.0,116906000000.0
0,34730,SK_Inc,etc,2015,Q4,741070000000.0,16852013000000.0,17593083000000.0,1509637000000.0,4601769000000.0,6111406000000.0,,6736539000000.0,11481677000000.0,,252718000000.0,6350983000000.0,5821064000000.0,5821064000000.0,,,
1,34730,SK_Inc,etc,2016,Q1,1041263000000.0,17574141000000.0,18615404000000.0,1733787000000.0,5017084000000.0,6750871000000.0,,7118416000000.0,11864533000000.0,1118468000000.0,644710000000.0,609559000000.0,578962000000.0,578962000000.0,,,
2,34730,SK_Inc,etc,2016,Q2,901581000000.0,17584224000000.0,18485805000000.0,1501403000000.0,5117969000000.0,6619372000000.0,,7122863000000.0,11866433000000.0,655751000000.0,61137000000.0,17780000000.0,10997000000.0,10997000000.0,,,
3,34730,SK_Inc,etc,2016,Q3,859832000000.0,17585281000000.0,18445113000000.0,1161415000000.0,5365378000000.0,6526793000000.0,,7172688000000.0,11918320000000.0,,95555000000.0,56570000000.0,50035000000.0,50035000000.0,,,
4,34730,SK_Inc,etc,2016,Q4,784945000000.0,17595863000000.0,18380808000000.0,1433585000000.0,5021522000000.0,6455107000000.0,,7183223000000.0,11925701000000.0,1339500000000.0,44971000000.0,39000000.0,1700000000.0,1700000000.0,,,
5,34730,SK_Inc,etc,2017,Q1,1341353000000.0,17671654000000.0,19013007000000.0,1490789000000.0,5211660000000.0,6702449000000.0,,7563924000000.0,12310558000000.0,1237215000000.0,652278000000.0,617811000000.0,591317000000.0,591317000000.0,,,
6,34730,SK_Inc,etc,2017,Q2,1259845000000.0,17715071000000.0,18974916000000.0,1104435000000.0,5520038000000.0,6624473000000.0,,7592979000000.0,12350443000000.0,714847000000.0,82943000000.0,48633000000.0,32323000000.0,32323000000.0,,,
7,34730,SK_Inc,etc,2017,Q3,844816000000.0,19028735000000.0,19873551000000.0,2086007000000.0,5359405000000.0,7445412000000.0,15385000000.0,7681440000000.0,12428139000000.0,766915000000.0,123833000000.0,110098000000.0,85851000000.0,85851000000.0,,,
8,34730,SK_Inc,etc,2017,Q4,832174000000.0,19126887000000.0,19959061000000.0,2274986000000.0,5351374000000.0,7626360000000.0,15385000000.0,7585590000000.0,12332701000000.0,,10412000000.0,-133306000000.0,-97370000000.0,-97370000000.0,,,
9,34730,SK_Inc,etc,2018,Q1,1400415000000.0,19010395000000.0,20410810000000.0,2367724000000.0,5430688000000.0,7798412000000.0,15385000000.0,8189190000000.0,12612398000000.0,,803193000000.0,942334000000.0,829749000000.0,829749000000.0,,,
10,34730,SK_Inc,etc,2018,Q2,820867000000.0,19300644000000.0,20121511000000.0,1988343000000.0,5458888000000.0,7447231000000.0,15385000000.0,8250676000000.0,12674280000000.0,452625000000.0,80464000000.0,36586000000.0,65090000000.0,65090000000.0,,,
11,34730,SK_Inc,etc,2018,Q3,861812000000.0,20066968000000.0,20928780000000.0,2709585000000.0,5517759000000.0,8227344000000.0,15385000000.0,8277436000000.0,12701436000000.0,545154000000.0,131594000000.0,107771000000.0,85635000000.0,85635000000.0,,,
12,34730,SK_Inc,etc,2018,Q4,767217000000.0,20609451000000.0,21376668000000.0,2504333000000.0,5704199000000.0,8208532000000.0,15385000000.0,8743527000000.0,13168136000000.0,1674633000000.0,45714000000.0,494587000000.0,473157000000.0,473157000000.0,,,
13,34730,SK_Inc,etc,2019,Q1,1202270000000.0,21099985000000.0,22302255000000.0,2562845000000.0,5749896000000.0,8312741000000.0,15385000000.0,9564523000000.0,13989514000000.0,1502773000000.0,1119487000000.0,1074298000000.0,1045112000000.0,1045112000000.0,,,
14,34730,SK_Inc,etc,2019,Q2,837529000000.0,21374411000000.0,22211940000000.0,2247836000000.0,5939540000000.0,8187376000000.0,15385000000.0,9599375000000.0,14024564000000.0,604830000000.0,178714000000.0,125893000000.0,50629000000.0,50629000000.0,,,
15,34730,SK_Inc,etc,2019,Q3,891446000000.0,21485489000000.0,22376935000000.0,2375344000000.0,5902399000000.0,8277743000000.0,15385000000.0,9673805000000.0,14099192000000.0,571451000000.0,142766000000.0,98241000000.0,131859000000.0,131859000000.0,,,
16,34730,SK_Inc,etc,2019,Q4,782375000000.0,21752711000000.0,22535086000000.0,3313082000000.0,5819442000000.0,9132524000000.0,15385000000.0,9870812000000.0,13402562000000.0,566462000000.0,39932000000.0,249465000000.0,192943000000.0,192943000000.0,,,
17,34730,SK_Inc,etc,2020,Q1,1795759000000.0,21818830000000.0,23614589000000.0,3575914000000.0,5868322000000.0,9444236000000.0,15385000000.0,10638404000000.0,14170353000000.0,1444960000000.0,1051969000000.0,1002694000000.0,982897000000.0,982897000000.0,,,
18,34730,SK_Inc,etc,2020,Q2,921232000000.0,22011445000000.0,22932677000000.0,2780873000000.0,5937898000000.0,8718771000000.0,15385000000.0,10681730000000.0,14213906000000.0,498072000000.0,43985000000.0,246864000000.0,53362000000.0,53362000000.0,,,
19,34730,SK_Inc,etc,2020,Q3,1422703000000.0,21863310000000.0,23286013000000.0,2451705000000.0,6013813000000.0,8465518000000.0,15385000000.0,11287484000000.0,14820495000000.0,988058000000.0,532699000000.0,745962000000.0,660191000000.0,660191000000.0,,,
20,34730,SK_Inc,etc,2020,Q4,1552357000000.0,22040040000000.0,23592397000000.0,2509629000000.0,6251205000000.0,8760834000000.0,15385000000.0,11301835000000.0,14831563000000.0,542894000000.0,29378000000.0,32299000000.0,19595000000.0,19595000000.0,,,
21,34730,SK_Inc,etc,2021,Q1,2145506000000.0,23084421000000.0,25229927000000.0,3235317000000.0,6292954000000.0,9528271000000.0,15385000000.0,12171588000000.0,15701656000000.0,897704000000.0,489050000000.0,1485091000000.0,1184655000000.0,1184655000000.0,,,
22,34730,SK_Inc,etc,2021,Q2,2018962000000.0,23287052000000.0,25306014000000.0,3417743000000.0,6195671000000.0,9613414000000.0,15385000000.0,12162385000000.0,15692600000000.0,469321000000.0,21698000000.0,-2957000000.0,-5430000000.0,-5430000000.0,,,
23,34730,SK_Inc,etc,2021,Q3,2148467000000.0,23932538000000.0,26081005000000.0,3841415000000.0,6554511000000.0,10395926000000.0,15385000000.0,12154718000000.0,15685079000000.0,617852000000.0,136761000000.0,81188000000.0,67828000000.0,67828000000.0,,,
24,34730,SK_Inc,etc,2021,Q4,1934670000000.0,25282305000000.0,27216975000000.0,5128241000000.0,6298628000000.0,11426869000000.0,16143000000.0,12406200000000.0,15790106000000.0,764659000000.0,182623000000.0,398601000000.0,252711000000.0,252711000000.0,,,
25,34730,SK_Inc,etc,2022,Q1,1695944000000.0,26437496000000.0,28133440000000.0,5439430000000.0,6532264000000.0,11971694000000.0,16143000000.0,12797305000000.0,16161746000000.0,1050165000000.0,580652000000.0,796271000000.0,748900000000.0,748900000000.0,,,
26,34730,SK_Inc,etc,2022,Q2,1573322000000.0,26316903000000.0,27890225000000.0,5505758000000.0,6395740000000.0,11901498000000.0,16143000000.0,12625537000000.0,15988727000000.0,644296000000.0,89539000000.0,-237313000000.0,-179142000000.0,-179142000000.0,,,
27,34730,SK_Inc,etc,2022,Q3,1588453000000.0,27047534000000.0,28635987000000.0,6277886000000.0,6389853000000.0,12667739000000.0,16143000000.0,12639922000000.0,15968248000000.0,643561000000.0,83811000000.0,96248000000.0,83779000000.0,83779000000.0,,,
28,34730,SK_Inc,etc,2022,Q4,1417446000000.0,27033802000000.0,28451248000000.0,5639723000000.0,6923726000000.0,12563449000000.0,16143000000.0,12514748000000.0,15887799000000.0,1031762000000.0,354687000000.0,-207437000000.0,-109122000000.0,-109122000000.0,,,
29,34730,SK_Inc,etc,2023,Q1,1528259000000.0,27242406000000.0,28770665000000.0,5214004000000.0,6867902000000.0,12081906000000.0,16143000000.0,13281406000000.0,16688759000000.0,1641072000000.0,1120349000000.0,990493000000.0,973117000000.0,973117000000.0,,,
30,34730,SK_Inc,etc,2023,Q2,1377859000000.0,27138973000000.0,28516832000000.0,4772431000000.0,7254399000000.0,12026830000000.0,16143000000.0,12982387000000.0,16490002000000.0,790791000000.0,109818000000.0,-234458000000.0,-191925000000.0,-191925000000.0,,,
31,34730,SK_Inc,etc,2023,Q3,1719782000000.0,27442537000000.0,29162319000000.0,5337961000000.0,7373937000000.0,12711898000000.0,16143000000.0,12947139000000.0,16450421000000.0,765710000000.0,192390000000.0,35662000000.0,37728000000.0,37728000000.0,44069000000.0,,
32,34730,SK_Inc,etc,2023,Q4,1638406000000.0,27000510000000.0,28638916000000.0,5525984000000.0,7194886000000.0,12720870000000.0,16143000000.0,12460837000000.0,15918046000000.0,939457000000.0,127904000000.0,-352990000000.0,-455946000000.0,-455946000000.0,310183000000.0,2586569000000.0,
33,34730,SK_Inc,etc,2024,Q1,2516553000000.0,26520227000000.0,29036780000000.0,5759797000000.0,7130495000000.0,12890292000000.0,16143000000.0,12752234000000.0,16146488000000.0,1236876000000.0,606350000000.0,472873000000.0,477969000000.0,477969000000.0,484110000000.0,630526000000.0,
34,34730,SK_Inc,etc,2024,Q2,2124475000000.0,26453780000000.0,28578255000000.0,5419257000000.0,6980620000000.0,12399877000000.0,16143000000.0,12709560000000.0,16178378000000.0,796331000000.0,130569000000.0,51205000000.0,45462000000.0,45462000000.0,31385000000.0,665762000000.0,
35,34730,SK_Inc,etc,2024,Q3,2242279000000.0,26294800000000.0,28537079000000.0,5252458000000.0,7164019000000.0,12416477000000.0,16143000000.0,12650837000000.0,16120602000000.0,736496000000.0,124057000000.0,4530000000.0,24096000000.0,24096000000.0,24730000000.0,612439000000.0,
