,name,sector,year,quarter,Relative Return,자본총계변화율,비유동부채변화율,영업이익변화율,비유동자산변화율,이익잉여금변화율,Label,Code
24,Doosan_Corp,Conglomerate,2018,Q3,0.03152433882393654,0.0018587691539526663,-0.016608332920113877,0.2819633680692615,-0.0062391754067658844,0.0038799256558410544,0.30786219039743284,000150
24,DL_Holdings,Conglomerate,2018,Q3,0.08279547369027626,-0.07999514816562536,0.12935115221113647,-0.05421065651469781,-0.005461379407374123,-0.0954106636885157,0.08077439818280213,000210
24,Dong-A_Socio_Holdings,Conglomerate,2018,Q3,-0.18182312355467703,-0.008716109095496138,0.00821686284921419,14.838760082962835,-0.002899413398567585,-0.01348808036151028,0.10267010874174004,000640
24,Hanwha_Corp,Conglomerate,2018,Q3,-0.14476644695145147,-0.01753997402441021,0.10118530282249327,0.02236815323470487,-0.002286463293995844,-0.025919664881461912,0.0382783137904042,000880
24,CJ_Corp,Conglomerate,2018,Q3,-0.056529233683688423,0.013625374566606285,-0.013721652492711067,0.011584521347804189,-0.004808694719706352,-0.002320086147986844,-0.04379072301480451,001040
24,LG_International,Conglomerate,2018,Q3,-0.05846947428784727,0.008188866955211704,0.041242485260941764,1.039242608435361,-0.028415872805860998,-0.026123876346038966,-0.09124490257332156,001120
24,Orion_Corp,Agriculture_&_Food,2018,Q3,0.043166397666540145,-0.0007542653833323421,0.0771484492285407,-0.8380870366162474,-0.011894281022110764,-0.060717868070167214,-0.31163225854663873,001800
24,LG_Corp,Conglomerate,2018,Q3,-0.1092886559238723,-0.004337284913876749,0.025531687760209754,-0.2431046722583019,-0.04954741396996676,-0.006506824906551412,0.007917259276199384,003550
24,Namyang_Dairy_Products,Agriculture_&_Food,2018,Q3,-0.010831292147876925,-0.0013222453237020648,-0.17563187554441684,-8.831337843173817,0.014982677476017114,-0.0012973205646689134,0.007863841071990655,003920
24,Hansol_Holdings,Conglomerate,2018,Q3,0.0040545679409920085,-0.015818060572042825,0.8935854734975612,-1.5623221372510994,0.00013409573116707207,2.582115326509414,0.11364856238890106,004150
24,Nongshim,Agriculture_&_Food,2018,Q3,0.12299387499911095,-0.009146195142888613,0.020777385452274477,-3.83013210683022,0.001701451513010377,-0.009342474689993496,-0.24132408041645248,004370
24,Binggrae,Agriculture_&_Food,2018,Q3,0.037250325274680376,-0.032759804127134196,-0.0645381100817839,-0.18367665890461526,0.015916134397236603,-0.8675365606944703,0.26045370671194795,005180
24,Hyundai_Green_Food,Agriculture_&_Food,2018,Q3,0.07562148427522318,0.013049940839894858,0.05953478958504843,0.0035431305480182473,0.015511945622496692,-0.018807353357264134,-0.011621961746300386,005440
24,SPC_Samlip,Agriculture_&_Food,2018,Q3,0.09403740792383199,-0.43226971121375524,-0.22524684742063483,0.14346431739524157,-0.3167590703082168,-0.37497690821625085,0.052824299938824426,005610
24,Crown_Confectionery,Agriculture_&_Food,2018,Q3,0.20789577178219584,-0.009443333802097387,0.0625744846102062,-21.73582520070546,0.0005304655137292613,-0.01490687311293959,-0.08555311329630558,005740
24,LS_Corp,Conglomerate,2018,Q3,0.03983252456327581,0.0005982512411460972,0.3572923440733077,1.3590882178804027,-0.0006836637938372192,0.0006872115948239887,-0.08022051368675145,006260
24,Ottogi,Agriculture_&_Food,2018,Q3,0.2534678467660355,-0.0793451480541496,-0.7211505811004173,-0.060998059294937956,-0.1100716567690454,-0.06158327448729217,-0.1319834130271225,007310
24,Muhak,Agriculture_&_Food,2018,Q3,-0.07135251616174428,-0.003886652701204474,-0.16898502298367468,-1.5433909542799489,-0.002373021372289008,-0.0041098424084971,0.015286590388284083,033920
24,SK_Holdings,Conglomerate,2018,Q3,-0.06565434135836098,-0.002142606917316048,-0.010784430821808355,-0.6354394511831378,-0.03970458187820047,-0.0032433706038148546,0.11644678557100833,034730
24,Farmsco,Agriculture_&_Food,2018,Q3,0.07477685817547736,-0.016535404426724964,0.07590590625037319,0.17213854091181868,-0.03735130508360318,-0.023935956747951792,-0.23333222339313509,036580
24,Dongwon_F&B,Agriculture_&_Food,2018,Q3,0.40282483013458703,-0.04383498526357732,-0.009767858164941856,-3.9919427937772722,-0.00375199663974346,-1.5847974430534815,0.008985685853532675,049770
24,Halla_Holdings,Conglomerate,2018,Q3,-0.04230133629338803,0.02258139212176502,-0.003483216160605984,0.21037037475811515,0.011125921418232876,0.01524339614337289,-0.0851458306421436,060980
24,GS_Holdings,Conglomerate,2018,Q3,-0.07360694450312913,-0.0030856430436616566,0.1483383303194341,-0.054905562432615795,0.0002582261209239656,-0.0046396481392392275,0.013837323925906675,078930
24,Samyang_Foods,Agriculture_&_Food,2018,Q3,0.00609756998399405,-0.010211950854813301,-0.007523156232973394,0.6757066334265405,-0.025381089691588476,-0.032554029163087916,-0.11344892041921172,145990
