,name,year,quarter,sector,Relative Return,이익잉여금 변화율,매출액 변화율,부채총계 변화율,법인세차감전 순이익 변화율,유동자산 변화율,비유동부채 변화율,Label,Code
24,조선내화,2018,Q4,철강_소재,-0.025609331002890156,0.02197409455267274,0.07048976268664675,0.22688471057021542,0.20021508897971851,0.045604119624505834,2.638561487157163,0.15370104598455664,000480
24,영풍,2018,Q4,철강_소재,0.12218307211157567,0.00068878282963869,0.03477421244689749,0.11274487339481443,-1.035000690041884,0.09320862306284661,-0.03670380820430352,-0.08245068496575361,000670
24,동국제강,2018,Q4,철강_소재,-0.062160127067464835,-0.3587562720678744,0.04061536018068024,-0.0445039412027074,28.12919322783752,-0.05359901797011235,-0.2878509011620225,-0.07237068239435014,001230
24,세아베스틸,2018,Q4,철강_소재,0.20357265642570999,-0.017902031840872468,-0.0640102125433204,0.05289113425251224,-17.20217609908642,-0.02260389042070121,-0.15387678867401844,-0.04389706915942038,001430
24,고려제강,2018,Q4,철강_소재,0.19022958976199286,0.006082894379410897,0.1257060701386843,-0.03267474994706587,1.7685695952280853,0.011227255165644712,-0.025926196434972404,0.04778805123656764,002240
24,세아제강,2018,Q4,철강_소재,0.021732410607735387,0.0023373893412466096,5.268611258858969,-0.0877060169918722,-22.950275274410895,-0.12143810453789394,-0.06965660830605003,0.0487535197476751,003030
24,현대제철,2018,Q4,철강_소재,-0.021121097645803617,0.0035902060143078174,0.023084646451983826,0.0175953608792776,-5.487852381311069,0.04098190178829553,-0.004011533551285251,-0.022434219715926434,004020
24,삼광글라스,2018,Q4,철강_소재,0.29197219699111515,-0.062116317712351155,0.112664416988284,0.018322354121594442,0.7721343680632655,-0.027001123034638308,-0.7321879453446889,0.05771197911448292,005090
24,POSCO,2018,Q4,철강_소재,-0.03731412057645239,-0.03064028172999178,-0.07808807528668671,-0.049610204832086,-1.6672981359929564,-0.060692889037332054,-0.006768733058507115,-0.02359553820533923,005490
24,무림P&P,2018,Q4,철강_소재,-0.2267205463851725,0.018419773551817675,-0.015174420263524002,0.03408921276178778,-0.5048407140688754,-0.1578447621074548,0.10843000415192305,0.01099573197489482,009580
24,고려아연,2018,Q4,철강_소재,0.07110274263109478,0.012881038840599546,-0.09162799805379362,0.15727704764870332,-0.3310972943253305,0.04916413560849198,-0.036040663760325664,-0.035777131593321077,010130
24,풍산,2018,Q4,철강_소재,0.03690462942354761,0.032301236121804244,0.21751923881621904,-0.08189640887771199,0.33705893748904536,-0.06605958110682086,-0.08948884028403414,-0.06892994621165294,103140
24,한국철강,2018,Q4,철강_소재,0.04774988881531862,0.05052156527590057,0.12155264557603118,0.05474249698479272,-2.056693191502326,0.020983554244315084,-0.12227254125024323,-0.00465644193814866,104700
