,name,year,quarter,sector,Relative Return,이익잉여금 변화율,비유동자산 변화율,소비자물가지수 변화율,자본총계 변화율,비유동부채 변화율,Label,Code
32,대림산업,2016,Q4,건설,-0.13911732572419963,-0.01509156675236123,0.245349989686229,0.9720054193181309,-0.0023878317318795084,-0.016167842348950634,-0.04877684289017979,000210
32,현대건설,2016,Q4,건설,0.01665776516054719,0.011174555149588095,-0.024582035243341127,0.9720054193181309,0.03617309184826767,-0.14080468836625648,-0.0775925137133953,000720
32,KCC,2016,Q4,건설,-0.2071485078598309,-0.0007441986588236915,-0.053048630772714045,0.9720054193181309,-0.0474361893502272,-0.01657924196818139,-0.054690556496670914,002380
32,한일시멘트,2016,Q4,건설,0.1901894167030761,0.05240102062076257,-0.09829025257893786,0.9720054193181309,0.04629759129273414,-0.14148658821706783,0.17624072955812897,003300
32,아이에스동서,2016,Q4,건설,-0.15739864160906342,0.14878755787621167,0.19145076129796323,0.9720054193181309,0.08385135287715606,-0.062261510306290124,-0.04969911223983275,010780
32,현대산업,2016,Q4,건설,-0.29298896140738145,0.026110053207245576,0.02701776346884044,0.9720054193181309,0.02091079284423203,0.07209867588312946,0.05333080336953553,012630
32,삼성엔지니어링,2016,Q4,건설,0.1877029336552789,0.6231713678637645,0.013342843655157255,0.9720054193181309,-0.1513034928274678,0.11587534543614941,-0.10751161223983274,028050
32,대우건설,2016,Q4,건설,-0.028748295485192324,-1.7829876398205289,0.04649327031831718,0.9720054193181309,-0.2483487058687769,-0.3462569086046928,0.017384365568766415,047040
32,한전기술,2016,Q4,건설,0.029857739630720317,-0.050625688192573515,-0.009842301607977944,0.9720054193181309,-0.05089606399306623,-0.2049722191704536,-0.2067921877794011,052690
32,LG하우시스,2016,Q4,건설,-0.0411936734727648,0.12444847009979054,0.020883339770765286,0.9720054193181309,0.017624607943165893,-0.22492249006444454,-0.032759136992307994,108670
