video_id,published_at,view_count
qtaSw4gP51w,2020-05-13T07:33:52Z,2940
r6NqTJj470s,2020-05-13T06:39:35Z,3387
GXJxVMfuhC8,2020-05-13T05:30:16Z,4086
hY5fv5W7Sm0,2020-05-13T04:50:37Z,2860
gqbXXdb4jrg,2020-05-13T01:18:52Z,5232
oB_vuQR20R4,2020-05-12T23:12:02Z,1945
TTZ9E21--7E,2020-05-12T22:52:32Z,2402
zzvcgGS-ta8,2020-05-12T11:00:33Z,8419
oub0LsODKYw,2020-05-12T07:49:38Z,4113
fP6kYV5F2LY,2020-05-12T07:48:36Z,1486
pGCEFKvmjM0,2020-05-12T05:22:07Z,3618
a-6iDYPzI0I,2020-05-12T04:56:17Z,1800
m3ujWRcfBbA,2020-05-11T23:36:03Z,2109
Oe8kaK13lLA,2020-05-11T11:00:20Z,2242
0J0v_WUdeno,2020-05-11T09:35:10Z,9711
oNyF2o2rpdw,2020-05-08T09:21:35Z,1235
FnmELNMKJYA,2020-05-08T07:45:02Z,1107
kMUi9GNwZPo,2020-05-08T04:53:09Z,21584
iwTvqv9DSNg,2020-05-08T00:40:40Z,2364
EJgu-rfAit8,2020-05-07T23:43:41Z,9012
gi9wM7d2Sr4,2020-05-07T09:33:02Z,2335
U3PJixJewm8,2020-05-07T09:17:30Z,20516
mK2Ld7-dAa0,2020-05-07T03:15:25Z,6919
UqoxP6DxPME,2020-05-07T02:01:41Z,9190
fvk_vdncqYI,2020-05-06T09:27:26Z,12141
MwNO-N1OclE,2020-05-06T08:30:04Z,12449
nGAVnFjJXu8,2020-05-06T07:38:57Z,1545
HMBEYDyBOks,2020-05-06T07:35:00Z,3237
C8Axd0MvsJA,2020-05-05T23:12:03Z,2779
-jpPVNUeTHY,2020-05-05T23:03:47Z,2748
HdKbt4h1JXQ,2020-05-04T09:24:07Z,2796
FwSMHsLzkAs,2020-04-30T15:06:35Z,27093
7yqWsio5UME,2020-04-29T22:00:02Z,10168
DIOrnFqOERg,2020-04-29T17:15:07Z,3268
D9BmRKrILKo,2020-04-29T05:43:42Z,26865
igsc9kTtGEo,2020-04-29T05:43:48Z,13865
Ycl7pr8w9HQ,2020-04-28T09:06:45Z,1287
QYvmE7JMVgw,2020-04-28T09:06:45Z,2828
EThHcNqbzxs,2020-04-28T09:06:45Z,2248
sK6Eo41OoLw,2020-04-28T08:07:21Z,2274
6iuRFAyWZ9k,2020-04-27T23:16:20Z,1697
uz90MLDettY,2020-04-27T22:58:50Z,10260
pgozA8GdS1A,2020-04-27T09:13:26Z,1096
aP8E7bYLdw8,2020-04-27T09:13:27Z,1988
MpoX3abzI74,2020-04-27T07:30:55Z,1782
jvhqGDE4he4,2020-04-27T05:57:16Z,1842
