,name,year,quarter,sector,Relative Return,유동부채 변화율,법인세차감전 순이익 변화율,이익잉여금 변화율,매출액 변화율,유동자산 변화율,Label,Code
30,조선내화,2017,Q2,철강_소재,-0.02640715550954606,0.043116307070664606,0.3413839231617106,0.01804364062492314,0.05314659312081371,0.057515808780992383,-0.11991074077387812,000480
30,영풍,2017,Q2,철강_소재,0.29021330345292834,-0.14560132876497156,-0.9743933059063498,9.292807380423262e-05,0.008289285528745749,-0.022003926023196008,-0.27665695512988575,000670
30,동국제강,2017,Q2,철강_소재,0.19288809049702133,-0.005316603211691695,-1.000897864337262,0.0137998678092639,0.012552682588715891,0.023284392859834524,-0.28486405848185525,001230
30,세아베스틸,2017,Q2,철강_소재,0.20002730313906575,-0.02025208146708468,1.0415158714373454,0.03662573868956054,0.10239299637106769,0.0606429360464682,-0.17756082215131305,001430
30,고려제강,2017,Q2,철강_소재,-0.010083708129498934,0.06581458562427844,-0.1353419694383844,0.006417223141002237,0.13092257618184266,0.07791439549228074,-0.15310665999786077,002240
30,세아제강,2017,Q2,철강_소재,-0.017093896196598794,0.25669344747737544,-0.31135052380174844,0.012912367727275775,0.18960421364773117,0.04699819001218741,-0.16512877437760978,003030
30,현대제철,2017,Q2,철강_소재,0.04545798562010793,0.003083460622205214,-0.550125654390476,0.012621823257210396,0.08049433263515415,-0.012638548143616313,-0.12824034758113034,004020
30,삼광글라스,2017,Q2,철강_소재,-0.06572561177038602,0.03847208748609754,-1.2815446582712986,-0.01926059755835574,0.23309544958049644,0.03925623495167474,-0.17576587902238744,005090
30,POSCO,2017,Q2,철강_소재,0.14930127845422647,-0.1994600226963935,-0.3921791366495243,0.00869232962408839,0.009466466719996847,0.008232232899501701,-0.10244012501573532,005490
30,무림P&P,2017,Q2,철강_소재,0.08599852616064847,-0.030786042912169465,-0.8181314709040091,0.008260390733870526,0.031305735920747146,-0.0308913695016495,-0.08935837027462207,009580
30,고려아연,2017,Q2,철강_소재,0.1031196006612024,-0.04352071399690949,0.23705196282152197,0.02903497509034847,0.03696465964970952,0.022864602651709198,-0.04154077740391476,010130
30,풍산,2017,Q2,철강_소재,0.31121273990611337,-0.19704792585179687,-0.20398814468809645,0.08473922790786492,0.018880953578704007,-0.009318287919785728,-0.21758390094703828,103140
30,한국철강,2017,Q2,철강_소재,0.022062474605313236,-0.07905765603699988,1.3786338302798695,0.1087558180381687,0.16577255960401316,0.033803284629384533,-0.23449774774617646,104700
