,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,발행금액 변화율,현재까지 감소한 주식의 총수 변화율,금리 변화율,실업률 변화율,국제유가 변화율,Label,Code
2,현대중공업,2024,Q2,중공업,0.47399972928725354,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.05632699984763589,009540
2,삼성중공업,2024,Q2,중공업,0.10666313721558776,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.15207878626156152,010140
2,현대미포조선,2024,Q2,중공업,0.4355049531430463,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.09890692446022838,010620
2,한화테크윈,2024,Q2,중공업,0.42999020173573543,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.37474988351701755,012450
2,SK텔레콤,2024,Q2,커뮤니케이션서비스,0.08785202885842457,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.1480776425971261,017670
2,현대엘리베이,2024,Q2,중공업,0.06220879736300331,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.2528290623784065,017800
2,제일기획,2024,Q2,커뮤니케이션서비스,-0.05285491260701005,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.14019050476377237,030000
2,KT,2024,Q2,커뮤니케이션서비스,0.09554830945591036,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.222114110545662,030200
2,LG유플러스,2024,Q2,커뮤니케이션서비스,0.00896016004143508,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.15455574478690715,032640
2,두산중공업,2024,Q2,중공업,0.06835882263387019,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.20670740391865988,034020
2,SBS,2024,Q2,커뮤니케이션서비스,-0.2500714753333872,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.013590057813970768,034120
2,NAVER,2024,Q2,커뮤니케이션서비스,-0.10666826333042465,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.27535199399224725,035420
2,엔씨소프트,2024,Q2,커뮤니케이션서비스,-0.09225738547868659,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.21888764133863128,036570
2,대우조선해양,2024,Q2,중공업,0.03332703308516264,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.2569319148554025,042660
2,두산인프라코어,2024,Q2,중공업,-0.09410343025277107,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.11017816569474759,042670
2,현대로템,2024,Q2,중공업,0.42347536927754004,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.29508604781721015,064350
2,두산엔진,2024,Q2,중공업,0.013749766013346529,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.269727500512098,082740
2,한진중공업,2024,Q2,중공업,-0.02599371327836455,0.0,0.0,0.0,0.02546205269366908,-3.3306690738754696e-16,0.01979840167061564,0.043549697889725306,097230
