,name,year,quarter,sector,Relative Return,이익잉여금 변화율,자본총계 변화율,비유동자산 변화율,부채총계 변화율,자산총계 변화율,유동자산 변화율,Label,Code
24,조선내화,2018,Q4,철강_소재,-0.025609331002890156,0.02197409455267274,0.0013596129067543483,0.06756236093292634,0.22688471057021542,0.06049700649051282,0.045604119624505834,0.15370104598455664,000480
24,영풍,2018,Q4,철강_소재,0.12218307211157567,0.00068878282963869,-0.0014581704819423003,-0.005357617840234474,0.11274487339481443,0.022188062168377654,0.09320862306284661,-0.08245068496575361,000670
24,동국제강,2018,Q4,철강_소재,-0.062160127067464835,-0.3587562720678744,-0.14394321072751892,-0.10628767476758061,-0.0445039412027074,-0.08870827290818228,-0.05359901797011235,-0.07237068239435014,001230
24,세아베스틸,2018,Q4,철강_소재,0.20357265642570999,-0.017902031840872468,-0.012822635380816516,0.02475094781881082,0.05289113425251224,0.01054715079867985,-0.02260389042070121,-0.04389706915942038,001430
24,고려제강,2018,Q4,철강_소재,0.19022958976199286,0.006082894379410897,0.0062650235692216505,-0.00545164812122545,-0.03267474994706587,-0.0024930641495682915,0.011227255165644712,0.04778805123656764,002240
24,세아제강,2018,Q4,철강_소재,0.021732410607735387,0.0023373893412466096,0.07331742419273146,0.07949317173686099,-0.0877060169918722,0.06232657041885825,-0.12143810453789394,0.0487535197476751,003030
24,현대제철,2018,Q4,철강_소재,-0.021121097645803617,0.0035902060143078174,-0.005619490471426625,-0.004644961246835888,0.0175953608792776,0.004992215188103222,0.04098190178829553,-0.022434219715926434,004020
24,삼광글라스,2018,Q4,철강_소재,0.29197219699111515,-0.062116317712351155,-0.04939224267673448,0.004412178438075953,0.018322354121594442,-0.0069283053680878615,-0.027001123034638308,0.05771197911448292,005090
24,POSCO,2018,Q4,철강_소재,-0.03731412057645239,-0.03064028172999178,-0.032886521562552784,-0.02395939538113756,-0.049610204832086,-0.035662314505108594,-0.060692889037332054,-0.02359553820533923,005490
24,현대중공업,2018,Q4,중공업,-0.11371797594043706,-0.02461359398591212,-0.020595486456025824,0.020343033763788432,0.14648213002287047,0.04337993217840386,0.07530688566002497,-0.05632310860481532,009540
24,무림P&P,2018,Q4,철강_소재,-0.2267205463851725,0.018419773551817675,0.01013699929287104,0.0979321421009991,0.03408921276178778,0.02136699360734573,-0.1578447621074548,0.01099573197489482,009580
24,고려아연,2018,Q4,철강_소재,0.07110274263109478,0.012881038840599546,0.011427893380454579,-0.007070073410458622,0.15727704764870332,0.020938653993322065,0.04916413560849198,-0.035777131593321077,010130
24,삼성중공업,2018,Q4,중공업,0.10917394975537703,-0.04345393389770302,-0.017660825550221082,-0.004671100632169911,0.06494460687122894,0.02360395036267815,0.05200804579637763,-0.025787363996223035,010140
24,현대미포조선,2018,Q4,중공업,0.18480418478697624,-0.05739636595975606,-0.00391289424456609,-0.030231298821402963,-0.12524359522433526,-0.04958467711293668,-0.06387380150095712,-0.12370889540684578,010620
24,한화테크윈,2018,Q4,중공업,0.02421419284030474,0.018959383299767874,-0.003285857372767431,0.05522189461713545,0.13219744159699642,0.05915725583607867,0.0674183751661388,-0.07354064154583259,012450
24,현대엘리베이,2018,Q4,중공업,0.010336102474942824,0.08412676006026265,0.021874168458649423,-0.0020833886665792,-0.0068716390011628325,0.008926146031679183,0.025782890660547064,-0.11206410594897,017800
24,두산중공업,2018,Q4,중공업,-0.32287417734015567,-0.5507585619202946,-0.19224425868461315,-0.11481129417698743,-0.03767099785082284,-0.09675438575779804,-0.05072810994882715,-0.02336183228518403,034020
24,대우조선해양,2018,Q4,중공업,-0.2075419310637293,0.6670889720689519,0.05687013731827473,0.02162786942518169,0.023013963587518615,0.03354108465355421,0.040841612441694375,0.017114649953694938,042660
24,두산인프라코어,2018,Q4,중공업,-0.18047095379706485,-0.1338801911818942,-0.012997628763181335,-0.04542720763510166,-0.09998860414525057,-0.07674342747117657,-0.1473829373234714,-0.01518768773076164,042670
24,현대로템,2018,Q4,중공업,-0.010311527781692564,-0.5364390325342239,-0.19510822780859682,-0.016688600953160604,0.1418649900286859,0.02207387360396429,0.0412140809354975,-0.17395876751954403,064350
24,두산엔진,2018,Q4,중공업,0.07121656273738207,-0.303546643963132,-0.02995794533991769,0.0041672529204241915,0.012690691722938352,-0.0014253883430848102,-0.010323922495531823,-0.20145686432463228,082740
24,한진중공업,2018,Q4,중공업,-0.39247138161461015,1.114774090085946,-1.795202433467352,-0.4485366917247867,0.052453535781469496,-0.24180037605716476,0.042232685586130136,0.0,097230
24,풍산,2018,Q4,철강_소재,0.03690462942354761,0.032301236121804244,0.017504300832056563,0.0027367497118757633,-0.08189640887771199,-0.027218887680589998,-0.06605958110682086,-0.06892994621165294,103140
24,한국철강,2018,Q4,철강_소재,0.04774988881531862,0.05052156527590057,0.0058095256578285515,0.005120350038666732,0.05474249698479272,0.015751669830490256,0.020983554244315084,-0.00465644193814866,104700
