,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,영업이익 변화율,이익잉여금 변화율,비유동자산 변화율,비유동부채 변화율,국제유가 변화율,Label,Code
22,대림산업,2019,Q2,건설,0.03625771104643578,0.17798441463015324,0.3025588469066365,0.011620136696281147,0.025820789985082637,-0.107194129916942,0.09107698802174014,-0.12059862893574436,000210
22,현대건설,2019,Q2,건설,-0.0772442790625539,0.17798441463015324,0.05759641482042532,0.016660753379974746,-0.0036005788868747057,-0.0061472678011326165,0.09107698802174014,-0.035704372441128854,000720
22,KCC,2019,Q2,건설,-0.1411779606192035,0.17798441463015324,1.074512440957791,-0.021583996869031008,0.06527151422286392,-0.02059036725172947,0.09107698802174014,-0.0627374078954682,002380
22,한일시멘트,2019,Q2,건설,-0.08813786747095828,0.17798441463015324,-1.042747079439251,0.008557792771527462,-0.0038919479906682763,-0.5450566361881002,0.09107698802174014,-0.03312599588747128,003300
22,아이에스동서,2019,Q2,건설,-0.040574088596179655,0.17798441463015324,-0.5373157783277327,0.02785550073099441,0.141833697949308,0.7018487864707972,0.09107698802174014,0.028257710820506723,010780
22,현대산업,2019,Q2,건설,-0.1477071614264826,0.17798441463015324,-0.7530666683214442,0.001705474545304897,0.027278401729333712,-0.011860104487168344,0.09107698802174014,-0.15566204781602946,012630
22,삼성엔지니어링,2019,Q2,건설,-0.01486770834347749,0.17798441463015324,-0.13223257524543075,4.876805812830109,-0.013013515244025275,0.03854968756700816,0.09107698802174014,0.125318552108097,028050
22,대우건설,2019,Q2,건설,-0.13180586098415303,0.17798441463015324,-0.10911902351124525,-0.9640309499951016,0.04614706093039178,0.11652619406170772,0.09107698802174014,0.09272467226276866,047040
22,한전기술,2019,Q2,건설,-0.14147094958272674,0.17798441463015324,-0.2340779612682531,0.00521433575131014,0.016017560622261673,0.10523404018600102,0.09107698802174014,0.026967346164386577,052690
22,LG하우시스,2019,Q2,건설,0.12114368298706277,0.17798441463015324,3.1202111024237684,0.09840041450320247,0.0036786480425594625,-0.17203405690839269,0.09107698802174014,-0.08063372941421709,108670
