,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,1인평균급여 변화율,증자주식수 변화율,기말 소유주식 수 변화율,기초 소유주식 지분율 변화율,Label,Code
13,경방,2021,Q3,경기소비재,0.055764862783849796,0.0,0.0,0.0,0.0,0.0,0.0,0.11458560288894182,000050
13,유한양행,2021,Q3,헬스케어,0.03409547304062605,0.0,0.0,0.0,0.0,0.0,0.0,0.13205388132662688,000100
13,일동제약,2021,Q3,헬스케어,0.0830987898190405,0.0,0.0,0.0,0.0,0.0,0.0,0.07268899017813357,000230
13,한국타이어월드와이드,2021,Q3,경기소비재,0.005208661600547844,0.0,0.0,0.0,0.0,0.0,0.0,-0.10970540170367923,000240
13,기아차,2021,Q3,경기소비재,0.08404218604545559,-0.023205699274690295,0.0,0.0,0.0,0.0,0.0,-0.09352931069547588,000270
13,동아쏘시오홀딩스,2021,Q3,헬스케어,-0.06506281265019764,0.0030550681847667516,0.0,0.0,0.0,0.0,0.0,0.05740492497456121,000640
13,SK네트웍스,2021,Q3,경기소비재,-0.03586496129618271,0.0,0.0,0.0,0.0,0.0,0.0,-0.04370239017890018,001740
13,넥센타이어,2021,Q3,경기소비재,-0.10770415459250027,0.0,0.0,0.0,0.0,0.0,0.0,-0.0898671681252067,002350
13,부광약품,2021,Q3,헬스케어,-0.3135856335984487,0.0,0.0,0.0,0.0,0.0,0.0,0.07304964992850684,003000
13,일신방직,2021,Q3,경기소비재,0.18270176936303414,0.0,0.0,0.0,0.0,0.0,0.0,0.12097536289771937,003200
13,영진약품,2021,Q3,헬스케어,-0.081472218687278,0.0,0.0,0.0,0.0,0.0,0.0,0.22966702290136187,003520
13,쌍용차,2021,Q3,경기소비재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,003620
13,한솔홀딩스,2021,Q3,경기소비재,-0.08320629915253168,0.0,0.0,0.0,0.0,0.0,0.0,-0.012721652324512722,004150
13,신세계,2021,Q3,경기소비재,-0.05106008707378832,0.0,0.0,0.0,0.0,0.0,0.0,0.142305225934181,004170
13,세방전지,2021,Q3,경기소비재,-0.004172566853464656,0.0,0.0,0.0,0.0,0.0,0.0,-0.1311007709151335,004490
13,조광피혁,2021,Q3,경기소비재,0.10060326578653808,0.0,0.0,0.023652568298852872,0.0,0.0,0.0,-0.03332236173105116,004700
13,현대차,2021,Q3,경기소비재,0.023420243348041193,0.0,0.0,0.0,0.0,0.0,0.0,-0.10873480546299329,005380
13,에스엘,2021,Q3,경기소비재,0.13478160470940256,0.0,0.0,0.00048537548381388795,0.0,0.0,0.0,-0.19299051759202757,005850
13,녹십자,2021,Q3,헬스케어,-0.17031195038415256,0.0,0.0,0.0,0.0,0.0,0.0,-0.08916531012314793,006280
13,동아타이어,2021,Q3,경기소비재,0.6121814183161127,0.0,0.0,0.0,0.0,0.0,0.0,0.0303788828644957,007340
13,일양약품,2021,Q3,헬스케어,-0.08566177905560951,0.0,0.0,0.0,0.0,0.0,0.0,-0.022441093876834642,007570
13,서연,2021,Q3,경기소비재,0.04926325053433196,0.0,0.0,0.0,0.0,0.0,0.0,-0.2625555570789715,007860
13,서흥,2021,Q3,헬스케어,-0.09178981954668936,0.0,0.0,0.0,0.0,0.0,0.0,-0.06578888428827526,008490
13,호텔신라,2021,Q3,경기소비재,-0.036209386281588436,0.0,0.0,0.0,0.0,0.0,0.0,0.09639197800045177,008770
13,한샘,2021,Q3,경기소비재,-0.18932437900356808,0.0,0.0,0.0,0.0,0.0,0.0,0.10781259607153161,009240
13,광동제약,2021,Q3,헬스케어,-0.03217929918736833,0.0,0.0,0.0,0.0,0.0,0.0,0.05838417734390898,009290
13,모토닉,2021,Q3,경기소비재,0.06045728038507823,0.0,0.0,0.0,0.0,0.0,0.0,-0.06669869364155254,009680
13,화신,2021,Q3,경기소비재,0.07977058510610827,0.0,0.0,0.0,0.0,0.0,0.0,-0.2516506697431294,010690
13,현대위아,2021,Q3,경기소비재,-0.07250975258195475,0.0,0.0,0.0,0.0,0.0,0.0,-0.16840702274294644,011210
13,현대모비스,2021,Q3,경기소비재,-0.034514786654027914,0.0,0.0,0.0,0.0,0.0,0.0,-0.06442251973389633,012330
13,에스원,2021,Q3,경기소비재,0.07147319225778324,0.0,0.0,0.0,0.0,0.0,0.0,-0.039635871629437366,012750
13,한온시스템,2021,Q3,경기소비재,-0.07225876899763783,0.0,0.025692844559647154,0.0,0.0,0.0,0.0,-0.11040123187774187,018880
13,대교,2021,Q3,경기소비재,-0.01724182697405721,0.0,0.0,0.0,0.0,0.0,0.0,-0.030402607471756715,019680
13,한섬,2021,Q3,경기소비재,0.07942061793248657,0.0,0.0,0.0,0.0,0.0,0.0,-0.037190631814859224,020000
13,코웨이,2021,Q3,경기소비재,0.09866544902802948,0.0,0.0,0.0,0.0,0.0,0.0,-0.054788999304157884,021240
13,롯데쇼핑,2021,Q3,경기소비재,0.014207070441088224,0.0,0.0,0.0,0.0,0.0,0.0,-0.025761574170057908,023530
13,삼성물산,2021,Q3,경기소비재,-0.10620938628158844,0.0,0.0,0.0,0.0,0.0,0.0,0.06334782947590804,028260
13,세종공업,2021,Q3,경기소비재,0.08508782225699942,0.0,0.0,0.0,0.0,0.0,0.0,-0.24124051674864352,033530
13,강원랜드,2021,Q3,경기소비재,0.0680330379608358,0.0,0.0,0.0,0.0,0.0,0.0,0.1107764360075364,035250
13,한라홀딩스,2021,Q3,경기소비재,0.13635013752793537,0.0,0.0,0.0,0.0,0.0,0.0,-0.09385204329762242,060980
13,S&T모티브,2021,Q3,경기소비재,-0.047010462219544996,0.0,0.0,0.0,0.0,0.0,0.0,-0.09225039939661969,064960
13,대웅제약,2021,Q3,헬스케어,-0.14408817416037634,0.0,0.0,0.0,0.0,0.0,0.0,0.3288844824079724,069620
13,현대백화점,2021,Q3,경기소비재,0.05170728038507823,0.0,0.0,0.0,0.0,0.0,0.0,0.053353447813784566,069960
13,금호타이어,2021,Q3,경기소비재,-0.12050995830446937,0.0,0.0,0.0,0.0,0.0,0.0,-0.1587319503762456,073240
13,현대리바트,2021,Q3,경기소비재,-0.03146472518595241,0.0,0.0,0.0,0.0,0.0,0.0,0.03888448240797241,079430
13,베이직하우스,2021,Q3,경기소비재,0.020457280385078228,0.0,0.0,0.0,0.0,0.0,0.0,-0.21318052534526669,084870
13,LF,2021,Q3,경기소비재,0.2028991408501945,0.0,0.0,0.0,0.0,0.0,0.0,-0.019154429698407,093050
13,한세실업,2021,Q3,경기소비재,0.21154718927282096,0.0,0.0,0.0,0.0,0.0,0.0,0.09188413763263552,105630
13,영원무역,2021,Q3,경기소비재,0.1700411162028839,0.0,0.0,0.0,0.0,0.0,0.0,0.12045423480383047,111770
13,GKL,2021,Q3,경기소비재,0.02531351041702711,0.0,0.0,0.0,0.0,0.0,0.0,0.05239441618280685,114090
13,한미약품,2021,Q3,헬스케어,-0.08716205512470909,0.0,0.0,0.0,0.0,0.0,0.0,0.1365419181680136,128940
13,한국타이어,2021,Q3,경기소비재,-0.06428066510758423,0.0,0.0,0.0,0.0,0.0,0.0,-0.07913550162725447,161390
13,동아에스티,2021,Q3,헬스케어,-0.052288847207465745,3.30417292169205e-05,0.0,0.0,0.0,0.0,0.0,0.039211302652888455,170900
13,종근당,2021,Q3,헬스케어,-0.05969573323686616,0.0,0.0,0.0,0.0,0.0,0.0,-0.002806981680773424,185750
