접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160329001187,Y,00362238,휴비스,-,-,-,-,-,-,2015-12-31,2015,Q4
20170331000466,Y,00362238,휴비스,-,-,-,-,-,-,2016-12-31,2016,Q4
20180330003411,Y,00362238,휴비스,-,-,-,-,-,-,2017-12-31,2017,Q4
20190329002228,Y,00362238,휴비스,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330002584,Y,00362238,휴비스,-,-,-,-,-,-,2019-12-31,2019,Q4
20210420000253,Y,00362238,휴비스,-,-,-,-,-,-,2020-12-31,2020,Q4
20220316000822,Y,00362238,휴비스,-,-,-,-,-,-,2021-12-31,2021,Q4
20230321001473,Y,00362238,휴비스,-,-,-,-,-,-,2022-12-31,2022,Q4
20240318000268,Y,00362238,휴비스,-,-,-,-,-,-,2023-12-31,2023,Q4
20250317000508,Y,00362238,휴비스,-,-,-,-,-,-,2024-12-31,2024,Q4
