,name,year,quarter,sector,Relative Return,이익잉여금 변화율,부채총계 변화율,매출액 변화율,법인세차감전 순이익 변화율,실업률 변화율,금리 변화율,Label,Code
24,조선내화,2018,Q4,철강_소재,-0.025609331002890156,0.02197409455267274,0.22688471057021542,0.07048976268664675,0.20021508897971851,-0.08800000000000008,-0.10693799508331026,0.15370104598455664,000480
24,영풍,2018,Q4,철강_소재,0.12218307211157567,0.00068878282963869,0.11274487339481443,0.03477421244689749,-1.035000690041884,-0.08800000000000008,-0.10693799508331026,-0.08245068496575361,000670
24,동국제강,2018,Q4,철강_소재,-0.062160127067464835,-0.3587562720678744,-0.0445039412027074,0.04061536018068024,28.12919322783752,-0.08800000000000008,-0.10693799508331026,-0.07237068239435014,001230
24,세아베스틸,2018,Q4,철강_소재,0.20357265642570999,-0.017902031840872468,0.05289113425251224,-0.0640102125433204,-17.20217609908642,-0.08800000000000008,-0.10693799508331026,-0.04389706915942038,001430
24,고려제강,2018,Q4,철강_소재,0.19022958976199286,0.006082894379410897,-0.03267474994706587,0.1257060701386843,1.7685695952280853,-0.08800000000000008,-0.10693799508331026,0.04778805123656764,002240
24,세아제강,2018,Q4,철강_소재,0.021732410607735387,0.0023373893412466096,-0.0877060169918722,-7.8128347778867795,-22.950275274410895,-0.08800000000000008,-0.10693799508331026,0.0487535197476751,003030
24,현대제철,2018,Q4,철강_소재,-0.021121097645803617,0.0035902060143078174,0.0175953608792776,0.023084646451983826,-5.487852381311069,-0.08800000000000008,-0.10693799508331026,-0.022434219715926434,004020
24,삼광글라스,2018,Q4,철강_소재,0.29197219699111515,-0.062116317712351155,0.018322354121594442,0.112664416988284,0.7721343680632655,-0.08800000000000008,-0.10693799508331026,0.05771197911448292,005090
24,POSCO,2018,Q4,철강_소재,-0.03731412057645239,-0.03064028172999178,-0.049610204832086,-0.07808807528668671,-1.6672981359929564,-0.08800000000000008,-0.10693799508331026,-0.02359553820533923,005490
24,무림P&P,2018,Q4,철강_소재,-0.2267205463851725,0.018419773551817675,0.03408921276178778,-0.015174420263524002,-0.5048407140688754,-0.08800000000000008,-0.10693799508331026,0.01099573197489482,009580
24,고려아연,2018,Q4,철강_소재,0.07110274263109478,0.012881038840599546,0.15727704764870332,-0.09162799805379362,-0.3310972943253305,-0.08800000000000008,-0.10693799508331026,-0.035777131593321077,010130
24,풍산,2018,Q4,철강_소재,0.03690462942354761,0.032301236121804244,-0.08189640887771199,0.21751923881621904,0.33705893748904536,-0.08800000000000008,-0.10693799508331026,-0.06892994621165294,103140
24,한국철강,2018,Q4,철강_소재,0.04774988881531862,0.05052156527590057,0.05474249698479272,0.12155264557603118,-2.056693191502326,-0.08800000000000008,-0.10693799508331026,-0.00465644193814866,104700
