,name,year,quarter,sector,Relative Return,이익잉여금 변화율,부채총계 변화율,매출액 변화율,법인세차감전 순이익 변화율,실업률 변화율,금리 변화율,Label,Code
8,조선내화,2022,Q4,철강_소재,0.12929673357272164,-0.015204212932843797,-0.05759596511664422,0.0629502687786978,-23.75606056486247,0.023809523809523725,0.11445954938682568,0.06836339716957847,000480
8,영풍,2022,Q4,철강_소재,-0.19892443087406253,-0.06248678912204497,-0.0746460769808468,-0.05545652105528609,3.957332241685539,0.023809523809523725,0.11445954938682568,-0.08632504545940695,000670
8,동국제강,2022,Q4,철강_소재,0.008803968088918833,-0.10773659915808098,0.03140748429061402,-0.020464018823525554,-0.9887913619679157,0.023809523809523725,0.11445954938682568,-0.0896062855049913,001230
8,세아베스틸,2022,Q4,철강_소재,0.21857325560664387,0.06030631062185532,-0.17789964436986394,40.507887630688415,-14.475029651790878,0.023809523809523725,0.11445954938682568,0.005019466384008388,001430
8,고려제강,2022,Q4,철강_소재,0.18377656778504414,0.002514069352802517,-0.08316484152171566,0.037583082856021965,-0.9623041332478777,0.023809523809523725,0.11445954938682568,-0.12670927147250136,002240
8,세아제강,2022,Q4,철강_소재,0.0488594805333885,-0.0016811474208159316,-0.06019697316336614,0.8828833240931988,-0.9135378496576856,0.023809523809523725,0.11445954938682568,0.028680810714708974,003030
8,현대제철,2022,Q4,철강_소재,0.09820558012017783,-0.013972550941108386,-0.012155548170990627,-0.16932150740969965,-2.2070275611647214,0.023809523809523725,0.11445954938682568,-0.018297440196015237,004020
8,삼광글라스,2022,Q4,철강_소재,-0.03292159565962588,0.5100148788752963,0.0218543691920694,0.16331552841256491,1.8545089872883396,0.023809523809523725,0.11445954938682568,-0.10419097835919167,005090
8,POSCO,2022,Q4,철강_소재,0.15154149298591688,0.012809042692814243,-0.08063799060414534,0.21664891257381358,-2.1480450230031147,0.023809523809523725,0.11445954938682568,0.07761034656793306,005490
8,무림P&P,2022,Q4,철강_소재,-0.17689267089963867,0.02730685535607491,0.04301596885074299,-0.0263319711870057,-0.459885974682666,0.023809523809523725,0.11445954938682568,-0.034432687876599546,009580
8,고려아연,2022,Q4,철강_소재,-0.07582018643055709,0.02073742881040519,-0.07731718107046948,0.05661388193444439,0.2700450957574627,0.023809523809523725,0.11445954938682568,-0.13914484232180235,010130
8,풍산,2022,Q4,철강_소재,0.2826578363715629,0.05147876386811712,-0.056800003428261525,0.1365347848609455,-0.3769620165275077,0.023809523809523725,0.11445954938682568,0.06564280825471461,103140
8,한국철강,2022,Q4,철강_소재,0.18075517685300932,0.1524878982212352,-0.08230426410355107,0.056585122430403034,0.30646581370125237,0.023809523809523725,0.11445954938682568,-0.0887247530763517,104700
