,name,year,quarter,sector,Relative Return,영업이익 변화율,소비자물가지수 변화율,유동부채 변화율,비유동자산 변화율,비유동부채 변화율,부채총계 변화율,Label,Code
18,한화,2020,Q2,에너지_화학,0.10180845239675312,8.033050193050194,-0.9744470971009336,-0.08626564566226902,0.0010339151891667342,0.08009095774419062,-0.029725222924453787,-0.012596347714810758,000880
18,한국쉘석유,2020,Q2,에너지_화학,-0.3307255460856113,-0.024746045464398847,-0.9744470971009336,-0.4015095748424513,-0.023187555118967973,0.48196458308987045,-0.38547119118801865,-0.016901046266611732,002960
18,태광산업,2020,Q2,에너지_화학,-0.33346609697493934,-0.655719747605638,-0.9744470971009336,-0.24779183050020093,0.6354118458778522,0.2083759236836482,-0.06849906363478542,0.08190927204578127,003240
18,삼성정밀화학,2020,Q2,에너지_화학,0.07734609223837191,-0.35375131411339134,-0.9744470971009336,-0.4199733752560789,0.01869515836707558,-0.08444120223751772,-0.40202803361518447,0.08257021447887561,004000
18,효성,2020,Q2,에너지_화학,-0.17931420695976708,-1.9250090048933495,-0.9744470971009336,-0.10826474969724242,0.0038526332339505753,-0.0077581815773064555,-0.048255080393139305,0.05722045444459716,004800
18,SK케미칼,2020,Q2,에너지_화학,1.5260486958428354,-1.1228383757543372,-0.9744470971009336,-0.14200230283359305,0.0032144696846276855,-0.018824821850147,-0.09494805204836476,-0.277069844076192,006120
18,대한유화,2020,Q2,에너지_화학,-0.32922377240158424,-2.5106380882736383,-0.9744470971009336,-0.3931692683581578,-0.016661131218147274,0.10431115905280874,-0.1918882505048738,0.8742711770353646,006650
18,국도화학,2020,Q2,에너지_화학,-0.29537811190717145,0.2547063145410513,-0.9744470971009336,-0.0161555262703158,0.013456260540873899,0.06845353361524853,0.005980068564443997,0.14491992433916415,007690
18,한화케미칼,2020,Q2,에너지_화학,0.7838498818384908,0.1293741296880464,-0.9744470971009336,-0.14445129992194228,0.013865492447861172,0.026940415227407533,-0.06627088214100574,0.49651486394234273,009830
18,OCI,2020,Q2,에너지_화학,0.4917559278891737,-0.7795563893542641,-0.9744470971009336,-0.005667541584399749,-0.013928995346679462,-0.08183655745696394,-0.03978034082324977,0.0018274722610765442,010060
18,S-Oil,2020,Q2,에너지_화학,-0.2894843714025981,-0.8362915529685265,-0.9744470971009336,0.15268703920687732,-0.00033835922440339505,-0.08283403160219005,0.053293948581051964,-0.03901519722688061,010950
18,롯데케미칼,2020,Q2,에너지_화학,-0.24213961465469966,-1.2312832070568815,-0.9744470971009336,-0.22846433618115025,0.018763315545569537,-0.08573984965393167,-0.15901939304063673,0.3560717204359098,011170
18,금호석유,2020,Q2,에너지_화학,0.08131378581094045,-0.3033695665402928,-0.9744470971009336,-0.03240223641553386,0.0037398712237481924,0.013849277387571135,-0.018779792431061648,0.37769206068571276,011780
18,SKC,2020,Q2,에너지_화학,0.5346921766869935,-0.008107758995960945,-0.9744470971009336,-0.19365675869183208,0.001126212828095774,1.0441963898723245,0.07007197059772619,-0.14719973452407992,011790
18,한솔케미칼,2020,Q2,에너지_화학,0.5427163429593325,0.08186065925322872,-0.9744470971009336,0.0061654884103850005,0.027415373311912683,-0.19987068328968327,-0.12400966096120614,-0.11220281337197553,014680
18,동원시스템즈,2020,Q2,에너지_화학,-0.2948525501321687,0.5420676617588567,-0.9744470971009336,-0.0543248233539968,0.03081113286430104,-0.0032267591150766384,-0.02641128719778385,0.3517286788831104,014820
18,유니드,2020,Q2,에너지_화학,-0.058523366729380466,0.7751553235129425,-0.9744470971009336,-0.06021962931924596,-0.0007648794522254754,-0.11235027999938396,-0.07821512389450536,-0.1205187320738179,014830
18,남해화학,2020,Q2,에너지_화학,-0.09714490430708778,0.5859417529674245,-0.9744470971009336,-0.40788395893265195,-0.0009038912994252524,0.10386589334210172,-0.35341999354171094,-0.08034936483972129,025860
18,LG화학,2020,Q2,에너지_화학,0.8485051972788076,1.1972425239901807,-0.9744470971009336,0.1944288248326278,0.026768318570576044,-0.10405571392260071,0.031098282805200217,-0.05093637392835632,051910
18,휴켐스,2020,Q2,에너지_화학,-0.28097830343855246,-0.45492574324729507,-0.9744470971009336,-0.5123047781090625,-0.03421318630285941,-0.0054684566788091304,-0.3184917351942057,0.43030212548314506,069260
18,GS,2020,Q2,에너지_화학,-0.2999651434575789,-0.9350247137583683,-0.9744470971009336,-0.6064912208116253,-0.00019780829708204717,1.0594413523652784,-0.057740328591002754,-0.024492913026763916,078930
18,휴비스,2020,Q2,에너지_화학,0.00305461571470228,-0.9275733215619197,-0.9744470971009336,-0.1667036435544592,0.0008223543492036356,0.14258756330410183,-0.06733938695504638,0.15384735179722434,079980
18,후성,2020,Q2,에너지_화학,0.005317986447123779,5.244714820700857,-0.9744470971009336,0.14254818088905719,-0.004545659572045557,-0.015570008865258833,0.019367183179900493,0.07928768788108062,093370
18,SK이노베이션,2020,Q2,에너지_화학,0.6515544294969795,-1.093306904080718,-0.9744470971009336,0.26383896546609065,0.021849817039131247,-0.005342743435459929,0.05277889403025915,-0.17369131791531495,096770
18,코오롱인더,2020,Q2,에너지_화학,-0.07256381181408811,-0.035505016403625356,-0.9744470971009336,-0.013537106253300069,0.022424253059954546,-0.1999175045062821,-0.060395026732099955,0.015673291959385674,120110
