,name,year,quarter,sector,Relative Return,이익잉여금 변화율,매출액 변화율,부채총계 변화율,유동자산 변화율,법인세차감전 순이익 변화율,영업이익 변화율,Label,Code
30,조선내화,2017,Q2,철강_소재,-0.02640715550954606,0.01804364062492314,0.05314659312081371,0.04686662449962786,0.057515808780992383,0.3413839231617106,-0.6827546321711365,-0.11991074077387812,000480
30,영풍,2017,Q2,철강_소재,0.29021330345292834,9.292807380423262e-05,0.008289285528745749,-0.04819501663650039,-0.022003926023196008,-0.9743933059063498,-0.9221552174439398,-0.27665695512988575,000670
30,동국제강,2017,Q2,철강_소재,0.19288809049702133,0.0137998678092639,0.012552682588715891,-0.0016299342044192588,0.023284392859834524,-1.000897864337262,0.3200195896291127,-0.28486405848185525,001230
30,세아베스틸,2017,Q2,철강_소재,0.20002730313906575,0.03662573868956054,0.10239299637106769,-0.017810816528807782,0.0606429360464682,1.0415158714373454,1.0093603902614436,-0.17756082215131305,001430
30,고려제강,2017,Q2,철강_소재,-0.010083708129498934,0.006417223141002237,0.13092257618184266,0.05229438198915615,0.07791439549228074,-0.1353419694383844,-0.07245535751497911,-0.15310665999786077,002240
30,세아제강,2017,Q2,철강_소재,-0.017093896196598794,0.012912367727275775,0.18960421364773117,0.07006560943536777,0.04699819001218741,-0.31135052380174844,-0.22824974648841956,-0.16512877437760978,003030
30,현대제철,2017,Q2,철강_소재,0.04545798562010793,0.012621823257210396,0.08049433263515415,-0.014360297254443766,-0.012638548143616313,-0.550125654390476,0.21803231583898008,-0.12824034758113034,004020
30,삼광글라스,2017,Q2,철강_소재,-0.06572561177038602,-0.01926059755835574,0.23309544958049644,0.026552659839886195,0.03925623495167474,-1.2815446582712986,1.1609517466708676,-0.17576587902238744,005090
30,POSCO,2017,Q2,철강_소재,0.14930127845422647,0.00869232962408839,0.009466466719996847,-0.06465136344560629,0.008232232899501701,-0.3921791366495243,-0.26454860611398523,-0.10244012501573532,005490
30,무림P&P,2017,Q2,철강_소재,0.08599852616064847,0.008260390733870526,0.031305735920747146,0.007781832755559437,-0.0308913695016495,-0.8181314709040091,0.5817795252754585,-0.08935837027462207,009580
30,고려아연,2017,Q2,철강_소재,0.1031196006612024,0.02903497509034847,0.03696465964970952,-0.024443580163080125,0.022864602651709198,0.23705196282152197,0.0463601209824569,-0.04154077740391476,010130
30,SK텔레콤,2017,Q2,커뮤니케이션서비스,0.1017951925832758,0.02242256388268582,0.007018882393401871,-0.06489871949743153,-0.05072632255985299,-0.23753096707125543,0.05223534124115825,-0.14516512165094828,017670
30,제일기획,2017,Q2,커뮤니케이션서비스,0.0015425676114256687,0.045443534504876704,0.3749717652915874,0.04068355565306314,0.06774097588216099,3.647998773097343,1.212199265310217,-0.08097144900981183,030000
30,KT,2017,Q2,커뮤니케이션서비스,0.04190906929163888,-0.033315534439662176,0.031519063934456915,-0.07673748801537106,-0.12171140455115892,-0.5151868702375304,-0.05485963696566254,-0.2128665420724176,030200
30,LG유플러스,2017,Q2,커뮤니케이션서비스,0.06153809450597221,0.09644169953535386,0.0442161401558252,-0.038375658925872136,-0.014869792882610922,0.00800646393418547,0.009376408859387508,-0.2689573504888074,032640
30,SBS,2017,Q2,커뮤니케이션서비스,0.06802977616064847,0.018901427697254558,0.21795410510416957,0.2884149013038504,0.4650469717956658,-2.5607532092941794,-2.200136259095794,-0.1968680539354869,034120
30,NAVER,2017,Q2,커뮤니케이션서비스,-0.08199997537878563,0.051549202950825324,0.04503302547758037,0.0037730879264272765,-0.01658012719437829,0.026349616260009645,0.06263811427593136,-0.08133249393336664,035420
30,엔씨소프트,2017,Q2,커뮤니케이션서비스,0.04491513576804633,0.029861175510268234,0.08490609171137242,0.03822968085964251,0.0042484844217620665,1.2734566266388407,0.2111580130675379,-0.017220693032416495,036570
30,풍산,2017,Q2,철강_소재,0.31121273990611337,0.08473922790786492,0.018880953578704007,-0.05466816190284862,-0.009318287919785728,-0.20398814468809645,-0.22290742674030484,-0.21758390094703828,103140
30,한국철강,2017,Q2,철강_소재,0.022062474605313236,0.1087558180381687,0.16577255960401316,-0.04531515200999425,0.033803284629384533,1.3786338302798695,1.4668467808469536,-0.23449774774617646,104700
