,name,year,quarter,sector,Relative Return,이익잉여금 변화율,자산총계 변화율,비유동자산 변화율,영업이익 변화율,기말 소유주식 지분율 변화율,유동부채 변화율,Label,Code
32,대림산업,2016,Q4,건설,-0.13911732572419963,-0.01509156675236123,0.019830624303224686,0.245349989686229,-0.631734228367981,0.11810261374636988,0.0587947890377849,-0.04877684289017979,000210
32,현대건설,2016,Q4,건설,0.01665776516054719,0.011174555149588095,0.016024382164343765,-0.024582035243341127,0.5521103791601398,0.0,0.06505597667153418,-0.0775925137133953,000720
32,KCC,2016,Q4,건설,-0.2071485078598309,-0.0007441986588236915,-0.022237267840951813,-0.053048630772714045,-0.61397610886999,-0.005410976552435054,0.07391805066997326,-0.054690556496670914,002380
32,한일시멘트,2016,Q4,건설,0.1901894167030761,0.05240102062076257,-0.023627497692387478,-0.09829025257893786,0.11372150549171689,0.15815680405249832,-0.19653759475345767,0.17624072955812897,003300
32,아이에스동서,2016,Q4,건설,-0.15739864160906342,0.14878755787621167,0.053826157774357064,0.19145076129796323,0.17854701849090127,-0.4672715489306546,0.09635804814876381,-0.04969911223983275,010780
32,현대산업,2016,Q4,건설,-0.29298896140738145,0.026110053207245576,0.04006274718457714,0.02701776346884044,-0.11376401513649037,0.0,0.0632341095698703,0.05333080336953553,012630
32,삼성엔지니어링,2016,Q4,건설,0.1877029336552789,0.6231713678637645,-0.014741331370683008,0.013342843655157255,0.05983395304708039,-0.2555858310626703,-0.0020705054502079268,-0.10751161223983274,028050
32,대우건설,2016,Q4,건설,-0.028748295485192324,-1.7829876398205289,-0.017772584009086656,0.04649327031831718,-8.47635924428269,0.3333333333333335,0.238178041846127,0.017384365568766415,047040
32,한전기술,2016,Q4,건설,0.029857739630720317,-0.050625688192573515,-0.08293204218163808,-0.009842301607977944,15.323901817072649,-0.00829312424607953,-0.08882510342981209,-0.2067921877794011,052690
32,LG하우시스,2016,Q4,건설,-0.0411936734727648,0.12444847009979054,-0.07100571654961207,0.020883339770765286,0.2878114220007666,0.0,-0.05351691242636869,-0.032759136992307994,108670
