,name,year,quarter,sector,Relative Return,이익잉여금 변화율,자산총계 변화율,비유동자산 변화율,영업이익 변화율,기말 소유주식 지분율 변화율,유동부채 변화율,Label,Code
17,대림산업,2020,Q3,건설,-0.07609556676934505,0.022766799887414146,-0.0012882442057211563,0.01993268182415253,-0.4176607131754714,0.0,-0.11131617765893631,-0.21579301763586795,000210
17,현대건설,2020,Q3,건설,-0.14513875665797915,0.009904215068143873,0.0023315621842301404,-0.010264997755032867,-0.17561402700336393,0.0,-0.0032628030670062147,0.06994546045774855,000720
17,KCC,2020,Q3,건설,-0.03250576077415952,-0.015272200444618522,-0.06442034602955193,-0.050979616795574945,-0.1497621812461919,0.0,-0.18038037503524162,0.02498041641653362,002380
17,한일시멘트,2020,Q3,건설,0.045629762082060786,-0.0008885426450633283,-0.00470399056066384,-0.031389113548440206,-0.6088742458291763,0.0,1.9528939204011433,-0.14547281365007764,003300
17,아이에스동서,2020,Q3,건설,-0.12229701417335292,0.12974008966337003,0.14680785855647316,0.2635779967236458,0.32436197212753526,0.0,0.05580023795594924,0.025096669850702996,010780
17,현대산업,2020,Q3,건설,-0.10249179851413553,0.00024975958039674673,-0.0014101363294263258,-0.003650940729657992,0.5463355460457389,0.0,3.59056358850561,-0.1878153767473577,012630
17,삼성엔지니어링,2020,Q3,건설,-0.09090921381618286,0.7801329035607885,0.045442761859910474,0.007503264927110509,0.48006020101588853,0.0,0.03190264147966837,-0.08195998672991425,028050
17,대우건설,2020,Q3,건설,-0.02698955444961175,6.612851449497893,0.04517638063282492,0.01611146761786153,0.30134941259058556,0.0,0.018813128539431956,0.5392166771579858,047040
17,한전기술,2020,Q3,건설,-0.08128753115102193,0.01493968979207616,-0.03479264758114087,-0.028709528803274487,-3.4681386399466945,0.0,-0.18638497851489277,0.0406233475769224,052690
17,LG하우시스,2020,Q3,건설,0.019354056663425337,0.1732733634630068,0.04353478405727995,-0.005930676784641986,0.1110938390590186,0.0,0.06605583152754102,-0.0677625482199529,108670
