,name,year,quarter,sector,Relative Return,영업이익 변화율,자산총계 변화율,비유동부채 변화율,비유동자산 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,Label,Code
7,대림산업,2023,Q1,건설,-0.11473241338712198,7.732858770467139,0.019953491707574766,-0.06284600227578374,0.00014259258833293487,0.012220418857342707,-4.630291876861132,-0.20777257239510422,000210
7,현대건설,2023,Q1,건설,0.04414312617702444,0.8335698517817722,0.03163516085114915,0.04431410626103882,-0.001818906475307025,0.00843962804605547,-2.298175486151022,-0.13300168657771466,000720
7,KCC,2023,Q1,건설,-0.04391398905085796,0.28780972362467283,0.017960730645077305,-0.2593708144880025,-0.00415964325970597,0.0008976132768978573,-0.642270790989673,-0.07029206557249212,002380
7,한일시멘트,2023,Q1,건설,-0.011799147529933125,-18.69027945150808,0.030544879015157678,-0.022791604206922167,-0.0001131655324800862,0.0077095544006846595,8.267263288562651,-0.0745508993809575,003300
7,아이에스동서,2023,Q1,건설,-0.1481796641342082,0.238371402801274,0.12527611696044527,0.6789472846426965,0.15060052775134225,0.14235988383400855,6.9169711954589035,-0.1648916859685114,010780
7,현대산업,2023,Q1,건설,-0.07444094751314137,8.068194290883422,-0.0030170026006416384,0.0012066480562833437,-0.021754637966279078,0.008224004114744776,21.799615641001246,-0.14014061774942949,012630
7,삼성엔지니어링,2023,Q1,건설,0.07749482344260783,-0.14001033147404618,0.014422384616013195,-0.09391284626417185,-0.028440615993327922,0.586391631026042,7.166333604669935,0.22446642607790984,028050
7,대우건설,2023,Q1,건설,-0.030223112328398756,2.2441467109111657,-0.014100190187301465,-0.034489588097010304,-0.0005707573505333574,0.09928360939628966,-3.437317153743359,0.05478737777618199,047040
7,한전기술,2023,Q1,건설,-0.14834382949614142,-0.264664238609994,-0.014711312642672114,0.005946604993909199,-0.038912775887184226,-0.019035625105794596,-0.4175558081664945,0.029521178961284117,052690
7,LG하우시스,2023,Q1,건설,0.22373525003691946,-2.4744897959183674,0.031251471869985004,0.05664700460829497,-0.009405656386191397,0.07856796065269256,-1.076181931658605,0.15290346189240067,108670
