,name,sector,year,quarter,유동자산_lag0,유동자산_lag1,유동자산_lag2,유동자산_lag3,비유동자산_lag0,비유동자산_lag1,비유동자산_lag2,비유동자산_lag3,유동부채_lag0,유동부채_lag1,유동부채_lag2,유동부채_lag3,비유동부채_lag0,비유동부채_lag1,비유동부채_lag2,비유동부채_lag3,부채총계_lag0,부채총계_lag1,부채총계_lag2,부채총계_lag3,이익잉여금_lag0,이익잉여금_lag1,이익잉여금_lag2,이익잉여금_lag3,자본총계_lag0,자본총계_lag1,자본총계_lag2,자본총계_lag3,영업이익_lag0,영업이익_lag1,영업이익_lag2,영업이익_lag3,법인세차감전 순이익_lag0,법인세차감전 순이익_lag1,법인세차감전 순이익_lag2,법인세차감전 순이익_lag3,당기순이익_lag0,당기순이익_lag1,당기순이익_lag2,당기순이익_lag3,당기순이익(손실)_lag0,당기순이익(손실)_lag1,당기순이익(손실)_lag2,당기순이익(손실)_lag3,자본금_lag0,자본금_lag1,자본금_lag2,자본금_lag3,Label,Code
0,경방,경기소비재,2022,Q4,0.045555099953843575,0.037866952026234434,0.06281031735933934,0.055490484897144914,0.9544449000461565,0.9621330479737655,0.9371896826406607,0.9445095151028551,0.07861086697605676,0.07818292942495697,0.1351562155438051,0.12925418200637548,0.2555655838639799,0.2593945587724178,0.22729639115009853,0.23362006801434057,0.3341764508400366,0.33757748819737476,0.3624526066939036,0.36287425002071605,0.6809629813375832,0.6771516807640914,0.651843303843868,0.6514119714265852,0.6658235491599633,0.6624225118026252,0.6375473933060963,0.637125749979284,0.22010112133252524,0.12593242710152355,0.061825945179176965,0.13563831987315808,-0.2797082065445695,0.14414451979341453,-0.0013806605352535948,0.07980238686746008,-0.1956327079160514,0.10599273286096604,0.0008582282112023791,0.06151324305513451,-0.1956327079160514,0.10599273286096604,0.0008582282112023791,0.06151324305513451,0.012021903765198612,0.011749162040532843,0.011404806883576344,0.011398098569321643,-0.06778854066886675,000050
1,하이트진로,생활소비재,2022,Q4,0.2781074511349533,0.3117932447327286,0.2937555892381118,0.3674555637408825,0.7218925488650467,0.6882067552672714,0.7062444107618883,0.6325444362591175,0.4380461202630094,0.45118183797824213,0.4493622029721194,0.49605857226947964,0.18795567340296032,0.20104333112365064,0.20260040423654113,0.20277775821242375,0.6260017936659698,0.6522251691018928,0.6519626072086605,0.6988363304819034,0.12000899038806326,0.10838081179902838,0.1024057454186493,0.08223584360326883,0.3739982063340303,0.34777483089810723,0.3480373927913395,0.30116366951809664,0.025343992098151986,0.08474611057276384,0.0937526953343779,0.09330166684568356,-0.0633511363302702,0.06818044054745219,0.080891846727108,0.07947823709197818,-0.04582125027273187,0.04849840346975517,0.05754626900737543,0.05890060936159577,-0.04582125027273187,0.04849840346975517,0.05754626900737543,0.05890060936159577,0.11868303746046388,0.11186305383371581,0.114777747149746,0.10229969515601392,-0.07727399954198289,000080
2,유한양행,헬스케어,2022,Q4,0.44189769851742855,0.46418043161666495,0.49718289331092674,0.5060375271498876,0.5581023014825715,0.535819568383335,0.5028171066890733,0.49396247285011247,0.1367379137086001,0.13131231091404175,0.14440357338884496,0.16129890102299824,0.009948020118752402,0.017679854783642396,0.02210484964801243,0.02131622349383172,0.1466859338273525,0.14899216569768414,0.1665084230368574,0.18261512451682996,0.820463829802756,0.8155933276553426,0.7958402727014982,0.7739265562983622,0.8533140661726475,0.8510078343023159,0.8334915769631426,0.8173848754831701,0.04768306044673057,0.01056754833168872,0.02306509297175868,0.012645697274137967,-0.019499213156252665,0.04631762182012288,0.055995805937948485,0.29325023663068084,0.038365515626017366,0.013169814162174772,0.04098175652680508,0.223191032922092,0.038365515626017366,0.013169814162174772,0.04098175652680508,0.223191032922092,0.032716198704092155,0.033436323497345204,0.0327080905751819,0.032135594210395226,0.07572187818167375,000100
3,CJ대한통운,산업재,2022,Q4,0.23985070667125222,0.2017017964459748,0.19879961364804222,0.18645912547904686,0.7601492933287478,0.7982982035540251,0.8012003863519578,0.8135408745209531,0.30535003621088247,0.2629846348065919,0.24177876421956687,0.22823557332413438,0.2567330337613453,0.2732599398059439,0.2884772268670597,0.29412065412898497,0.5620830699722278,0.5362445746125358,0.5302559910866266,0.5223562274531194,0.09832941656611471,0.09558289890688416,0.09244590462181944,0.08731919039511407,0.4379169300277722,0.4637554253874642,0.4697440089133735,0.4776437725468806,0.03526153635922021,0.029890202874834383,0.03723161313794376,0.0249007427808545,0.03627093400413072,0.021452682476321757,0.027762771255913064,0.0356115315817249,0.02899504063228273,0.01661317677522183,0.021302926593812183,0.03133890534490095,0.02899504063228273,0.01661317677522183,0.021302926593812183,0.03133890534490095,0.014576366286528178,0.015578790955048515,0.015748478900057362,0.01582802399610591,-0.02869055534910081,000120
4,두산,산업재,2022,Q4,0.15796334079704658,0.21001681889631726,0.15395658395076056,0.14427332415376065,0.8420366592029535,0.7899831811036827,0.8460434160492394,0.8557266758462393,0.15559149365621422,0.18658688201554124,0.200574702570907,0.2335087908745609,0.20933235546181103,0.20828735911020918,0.23640823355419202,0.19426138094193104,0.3649238491180253,0.3948742411257504,0.43698293612509903,0.4277701718164919,0.6759637077015327,0.6455894584368645,0.601755906920783,0.6105356478345585,0.6350761508819748,0.6051257588742496,0.5630170638749009,0.5722298281835081,-0.034628354276193866,0.03805513594084729,0.09947851493639917,0.03601792089219935,-0.2373278914143834,0.4152836208537214,0.09758606054878026,0.04678177802888264,-0.16826627378194847,0.32723001360050125,0.07231743868010103,0.06004724857205146,-0.16826627378194847,0.32723001360050125,0.07231743868010103,0.06004724857205146,0.024684373000792872,0.023090734569825678,0.02274207495030176,0.02332870386025329,-0.10645443924767861,000150
5,대림산업,건설,2022,Q4,0.08569778372503113,0.07356636129788134,0.07687613538309175,0.0685182831680447,0.9143022162749689,0.9264336387021187,0.9231238646169082,0.9314817168319552,0.08508376429684714,0.08445000892978587,0.09330828601845657,0.07369609020292094,0.08089867760889692,0.07822018896093878,0.0773871959986755,0.10579677658630235,0.16598244190574407,0.16267019789072465,0.17069548201713206,0.1794928667892233,1.540864228112662,1.5220690835189288,1.5073399868895663,1.4974794960731803,0.8340175580942559,0.8373298021092753,0.829304517982868,0.8205071332107767,0.5738674017129984,0.03390089213393251,0.868723713466507,0.9375693538377871,-1.3479451156348823,-0.1051925951287412,0.8026549778415891,0.9688003116394419,-1.4163177736488044,-0.11091888335466187,0.6071225009890028,0.9034563436637405,-1.4163177736488044,-0.11091888335466187,0.6071225009890028,0.9034563436637405,0.03801194052785845,0.037279623434280984,0.03691474375395343,0.03685511425591273,-0.07233537026359405,000210
6,일동제약,헬스케어,2022,Q4,0.06245682914004593,0.020252349128677825,0.059829574604394586,0.07236321762437385,0.9375431708599541,0.9797476508713222,0.9401704253956055,0.9276367823756262,0.22794087423683704,0.158884047984785,0.161945580283482,0.22669774365412793,0.14749657276588193,0.17241399894775125,0.17164408845760856,0.1142995655683338,0.37543744700271897,0.3312980469325362,0.33358966874109053,0.34099730922246174,0.18404697865800645,0.1760769949153856,0.17530758538267163,0.17467356351156135,0.624562552997281,0.6687019530674637,0.6664103312589095,0.6590026907775383,0.15177355289109754,0.12532492526151257,0.10973986575974459,0.31882440507377624,2.0450769947254153,0.03815502143875968,0.025754999253724268,0.12596721850164758,1.67727436181178,0.03231399149589867,-0.09826507635248864,0.1441333652511875,1.67727436181178,0.03231399149589867,-0.09826507635248864,0.1441333652511875,0.03882293753760834,0.04362629716581682,0.04358842691612186,0.04299544847704867,0.08479416214387592,000230
7,한국타이어월드와이드,경기소비재,2022,Q4,0.17502848996604278,0.18601365600476757,0.18892947322462886,0.20577804320156254,0.8249715100339572,0.8139863439952324,0.8110705267753712,0.7942219567984374,0.06278462494308547,0.0681167254050082,0.07323706669411742,0.0963037677582836,0.029539463890457498,0.018312041149708386,0.0193413141176714,0.019716470428497394,0.09232408883354297,0.08642876655471658,0.09257838081178882,0.11602023818678099,0.3192703834405768,0.32719896316545133,0.32040113201921677,0.30815312234460085,0.9076759111664571,0.9135712334452835,0.9074216191882112,0.883979761813219,0.10825720018363326,0.09474238274418276,0.08677953341347819,0.2181132642159927,0.0037432907795489937,0.14016521751441247,0.12185032639025323,0.2305606447010961,-0.16712153671261426,0.09730417676719465,0.0947437682266553,0.2019667161090983,-0.16712153671261426,0.09730417676719465,0.0947437682266553,0.2019667161090983,0.015975728517799142,0.015969211583382308,0.015948737260347245,0.015640384768343583,0.020502954521688155,000240
8,기아차,경기소비재,2022,Q4,0.37836464717195906,0.3572843589410851,0.3875510369769197,0.38037911206778124,0.6216353528280409,0.6427156410589149,0.6124489630230803,0.6196208879322188,0.3091952366591882,0.29427165895074786,0.30696576422914545,0.287096597980412,0.12417907241304846,0.13960207807500943,0.13424806399483913,0.15880576405050834,0.4333743090722367,0.43387373702575727,0.4412138282239846,0.4459023620309203,0.4915016334639454,0.48775520995889476,0.4805641549437312,0.4726885338270895,0.5666256909277634,0.5661262629742427,0.5587861717760154,0.5540976379690797,0.10882501063050323,0.03294445187596135,0.06155191194021833,0.048423621337626004,0.0944736024929979,0.00900919458405874,0.06533074444562041,0.05548709916998516,0.06551768262960521,0.008200836429273623,0.04875224905009369,0.04452805969762069,0.06551768262960521,0.008200836429273623,0.04875224905009369,0.04452805969762069,0.033160059984951674,0.032453768488345254,0.032372542234193516,0.03174418779078552,-0.01009368383411946,000270
9,조선내화,철강_소재,2022,Q4,0.18719953561962335,0.17367481035462412,0.18294047949730124,0.19059916014764233,0.8128004643803767,0.8263251896453759,0.8170595205026987,0.8094008398523577,0.3119594656197709,0.32973456373527615,0.3448544664955391,0.31685632130440033,0.1538346773466148,0.14600420491218966,0.09617721263945668,0.10250638775149506,0.4657941429663857,0.4757387686474658,0.44103167913499575,0.4193627090558954,0.4532507494515301,0.4430002859849762,0.47302001063602184,0.46474433285941336,0.5342058570336143,0.5242612313525342,0.5589683208650043,0.5806372909441047,-0.02561486366895838,0.06869773630113016,0.01332713414853956,0.06320681492504678,-0.21863520127153613,0.010212591291609991,0.15574878365674336,0.153435169159865,-0.18867488852327843,0.007157245497878279,0.12252989921563398,0.1261382002984859,-0.18867488852327843,0.007157245497878279,0.12252989921563398,0.1261382002984859,0.019023112826744862,0.018310206467340932,0.019588292906072714,0.019854137526945037,-0.05688977441989218,000480
